representants_id;denomination_affiliation;identifiant_national_affiliation;type_identifiant_national_affiliation
486;FRANCE FILIERE PECHE;525093639;SIREN
486;ETABLISSEMENT NATIONAL DES PRODUITS DE L AGRICULTURE ET DE LA MER FRANCEAGRIMER;130006364;SIREN
486;COOP FR LES ENTREPRISES COOPERATIVES;317165728;SIREN
486;INSTITUT DEVELOPPEMENT ECONOMIE SOCIALE;327645057;SIREN
487;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
487;FRSEA NORD PAS DE CALAIS PICARDIE;820024305;SIREN
488;COALITION INTERNATIONALE SIDA;504862731;SIREN
488;[IMP]PATIENTS, CHRONIQUES & ASSOCIES;534962667;SIREN
488;COORDI SOLIDARITE URGENCE DEVELOPPEMENT;398699538;SIREN
488;SIDACTION;398945543;SIREN
488;L'INTERASSOCIATIVE LESBIENNE GAIE  BI ET TRANS;521317057;SIREN
488;RESEAU D'ASSISTANCE AUX VICTIMES D'AGRESSIONS ET DE DISCRIMINATIONS;491599817;SIREN
488;UNION NATIONALE DES ASSOCIATIONS AGREEES DU SYSTEME DE SANTE;481370039;SIREN
488;FEDERATION NATIONALE D'HEBERGEMENT V.I.H;437762644;SIREN
488;ASSOCIATION DE GESTION DU GROUPE INTERASSOCIATIF TRT-5;799320569;SIREN
491;FEDERATION DES PROMOTEURS IMMOBILIERS DE FRANCE;784312332;SIREN
493;FEDERATION NAT AVIATION MARCHANDE;394382089;SIREN
493;AIRPORTS COUNCIL INTERNATIONAL EUROPE (ACI EUROPE);H362154500;HATVP
493;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
493;TRANSPORT DEVELOP INTERMODALITE ENVIRON;439721978;SIREN
493;FEDERATION FRANCAISE AERONAUTIQUE;784354417;SIREN
495;SYND NATION INDUST TECHNOL MEDICALES;307330845;SIREN
495;LES ENTREPRISES DU MEDICAMENT;784668543;SIREN
495;GEMME;493174825;SIREN
495;COLLECT.NAT.GROUP.PHARMACIEN OFFICINE;449559269;SIREN
495;CLUB INTER PHARMACEUTIQUE;784672503;SIREN
495;ASS CADRES DE L'INDUSTRIE PHARMACEUTIQUE;407578806;SIREN
495;NILE;498735448;SIREN
495;DASTRI;792505554;SIREN
496;AIDER LES OURS - SUN BEAR OUTREACH;W751223869;RNA
496;PROTECT ANIMAUX SAUVAGES PATRIM NATUREL;377831474;SIREN
496;CONVERGENCE.ANIMAUX.POLITIQUE (C.A.P);W911002178;RNA
496;CENTRE ATHENAS;W392000484;RNA
496;ANIMALS ASIA GROUPE DE SOUTIEN FRANCE;W131007415;RNA
497;ASS PROMOTION VOLAILLE FRANCAISE;479907388;SIREN
498;FEDER FRANCAISE TELECOMS COMMUNICATIONS ELECTRONIQUES;502086325;SIREN
500;A I M C C;784602245;SIREN
500;ASSOCIATION HQE;414472167;SIREN
500;COLLECTIF EFFINERGIE;492203666;SIREN
503;MOUVEMENT DES ENTREPRISES DE FRANCE;775347453;SIREN
503;GROUPEMENT DES PROFESSIONS DE SERVICES;477942114;SIREN
503;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
503;FEDER SYND SOC ETUDES CONSEILS;784179426;SIREN
505;UNION  TRANSPORTS PUBLICS FERROVIAIRES;784408643;SIREN
506;HUB INSTITUTE;523594752;SIREN
506;ASLOG INFORMATIQUE;450527296;SIREN
506;ASSOCIATION FRANCAISE DE NORMALISATION;775724818;SIREN
506;GROUPEMENT SYNDICAT SYNTEC ETUDE CONSEIL;420512766;SIREN
506;L'ASSOCIATION DE L'ECONOMIE NUMERIQUE;322387945;SIREN
506;RENAISSANCE NUMERIQUE;501629232;SIREN
506;SOC AGRICULTEURS FRANCE;784364259;SIREN
507;EUROPEAN PUBLIC AFFAIRS CONSULTANCIES' ASSOCIATION (EPACA);H000000017;HATVP
508;FEDERATION NATIONALE MUTUALITE FRANCAISE;304426240;SIREN
510;FEDERATION NATIONALE DES TP - FNTP;784359788;SIREN
511;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
512;UNION NATIONAL INDUS CARRIERE MATERIEL;784717043;SIREN
512;SYNDICAT FRANCAIS INDUSTRIE CIMENTIERE;784359846;SIREN
512;ASS UTILISATEURS TRANSPORTS FRET;393985890;SIREN
513;UNION DES EMPLOYEURS DE L'ECONOMIE SOCIALE ET SOLIDAIRE;410168512;SIREN
513;COOP FR LES ENTREPRISES COOPERATIVES;317165728;SIREN
515;LES ENTREPRISES DU MEDICAMENT;784668543;SIREN
515;ASS GPE INT POUR PHARMACIE DE RECHERCHE;401255468;SIREN
516;LES ENTREPRISES DU MEDICAMENT;784668543;SIREN
517;PLATEFORME FRANCAISE EDUCATION DEVELOPPEMENT ET A LA SOLIDARITE INTERNATIONALE;801337155;SIREN
517;COORDI SOLIDARITE URGENCE DEVELOPPEMENT;398699538;SIREN
518;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
518;UNION NATIONALE DES PROFESSIONS LIBERALES;302991591;SIREN
519;FEHAP FORMATION;316403880;SIREN
519;UNION NAT INTER OEUVRE PRIVE SANIT SOCIA;775672223;SIREN
519;AGENCE NATIONALE DE L'EVALUATION ET DE LA QUALITE DES ETS ET DES SERVICES SOCIAUX ET MEDICO-SOCIAUX;130003619;SIREN
519;ASSO NATIONALE INFOR LOGEMENT;304163983;SIREN
519;FONDAT ABBE PIERRE LOGEMENT DEFAVORISES;345282016;SIREN
521;COMITE NATIONAL DE LA CONCHYLICULTURE;784385692;SIREN
521;MEDEF GRANDE AQUITAINE;820303014;SIREN
521;CGPME GIRONDE;492087127;SIREN
521;UNION METIERS INDUSTRIE HOTELIERE REGION AQUITAINE;498209667;SIREN
521;UNION METIERS & INDUSTRIES HOTELLERIE;784357857;SIREN
521;CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE BORDEAUX GIRONDE;130022858;SIREN
521;CONSEIL INTERPROF DU VIN DE BORDEAUX;781846092;SIREN
525;FEDALIM;440577674;SIREN
526;JEUNES AGRICULTEURS NOUVELLE AQUITAINE;490290400;SIREN
527;FEDERAT NAT ACTIVITE DECHET;784360182;SIREN
527;AFAIA;342498110;SIREN
527;INSTITUT DE L'ECONOMIE CIRCULAIRE;790867493;SIREN
528;ASSOCIATION DES BRASSEURS DE FRANCE;775671654;SIREN
528;INSTITU LIAISON ETUDES INDUSTR CONSOMM;784671075;SIREN
529;UNION DES ENTREPRISES DE PROXIMITE;349681098;SIREN
529;CONFED NAT ARTISAN DES METIER ET SERVICE;784409211;SIREN
530;ASA CENTRE REGIONAL JEUNES AGRICULTEURS;389241050;SIREN
531;JEUNES AGRICULTEURS GRAND EST;528510993;SIREN
532;GEMME;493174825;SIREN
533;FEDERATION BANCAIRE FRANCAISE;434987582;SIREN
533;PARIS EUROPLACE;393769252;SIREN
533;ASS PROFESSIONNELLE BANQUES;775675887;SIREN
533;ASSO FRANCAI ENTREPRIS PRIVEES;326943016;SIREN
533;ASS FRANCAISE PROFESSIONNELS DES TITRES;400427910;SIREN
533;AMERICAIN CHAMBER OF COMMERC;784357329;SIREN
534;FESAC;484376678;SIREN
534;FEDERATION DES EMPLOYEURS DU SPECTACLE VIVANT PUBLIC ET PRIVE;517474508;SIREN
535;UNION NATIONALE LYCEENNE - SYNDICALE & DEMOCRATIQUE;829426493;SIREN
536;GROUPEMENT INDUSTR FSES AERONAUT SPACIAL;784668394;SIREN
537;FEDERATION NATIONALE MUTUALITE FRANCAISE;304426240;SIREN
541;RESEAU ACTION CLIMAT FRANCE;422466201;SIREN
541;INF'OGM VEILLE CITOYENNE SUR LES OGM;423902386;SIREN
541;CTRE DE RECHERCH & INFORM POUR LE DVP;335063269;SIREN
541;FORUM CITOYEN POUR LA RESPONSABILITE SOCIALE DES ENTREPRISES;801763400;SIREN
541;RESEAU SEMENCES PAYSANNES;453127250;SIREN
541;COMBAT MONSANTO;520875915;SIREN
541;RESEAU  SORTIR DU NUCLEAIRE;418092094;SIREN
544;MOUVEMENT DES ENTREPRISES DE FRANCE;784668618;SIREN
545;LYCEE GEN TECHNO AGRICOLE LE ROBILLARD;191411123;SIREN
545;GROUPE REGIONAL AGROBIOLOGISTES HN;395084163;SIREN
545;GS1 FRANCE;305545675;SIREN
546;UNION INDUS PROTECT PLANT UIPP;785308420;SIREN
546;ASSOCIATION FRANCAISE DES PRODUCTEURS DE PRODUITS DE BIOCONTROLE;793600313;SIREN
550;F.N.A.R.;537838203;SIREN
551;SYND PROF PROP EXPL PLATE FORME ELIM DEC;403752546;SIREN
551;FEDERAT NAT ACTIVITE DECHET;784360182;SIREN
554;FRANCE DIGITALE;791772445;SIREN
554;TECH IN FRANCE;W751173464;RNA
555;LA FABRIQUE DE L INDUSTRIE;750263287;SIREN
555;ASSOCIATION NATIONALE DE LA RECHERCHE ET DE LA TECHNOLOGIE - ANRT -;784668717;SIREN
555;CERCLE DE L UNION INTERALLIEE;784329161;SIREN
555;ALLIANCE POUR L'INDUSTRIE DU FUTUR;813297710;SIREN
555;INSTITUT DE L ENTREPRISE;302655154;SIREN
559;TECH'IN FRANCE;489305367;SIREN
559;SYNTEC NUMERIQUE;384719001;SIREN
559;FEDERATION ENTREPRISES VENTE A DISTANCE;784854994;SIREN
561;LES ENTREPRISES DU MEDICAMENT;784668543;SIREN
562;ARMATEURS DE FRANCE;784357600;SIREN
562;LE CLUSTER MARITIME FRANCAIS;489847624;SIREN
562;MOUVEMENT ENTREPRISE FRANCE INTERNATIONA;378236376;SIREN
562;FEDERATION DES ENTREPRISES DES OUTRE-MER;393411855;SIREN
562;FONDATION H.E.C.;321337081;SIREN
563;JEUNES AGRICULTEURS PACA;404486078;SIREN
566;UNION  TRANSPORTS PUBLICS FERROVIAIRES;784408643;SIREN
566;FEDERATION NATIONALE TRANSPORT VOYAGEURS;393264379;SIREN
567;GROUPEMENT INDUSTR FSES AERONAUT SPACIAL;784668394;SIREN
568;UNION NATIONALE POUR LA PROMOTION ET LE DEVELOPPPEMENT DE LA LOCATION DE VACANCES;W751216334;RNA
572;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
572;UNION FEDERATIONS TRANSPORTS;784717258;SIREN
573;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
574;UNION  TRANSPORTS PUBLICS FERROVIAIRES;784408643;SIREN
574;AGIFI;504447178;SIREN
576;LE CLUSTER MARITIME FRANCAIS;489847624;SIREN
576;ASSOCIATOIN POLE MER BRETAGNE;488726563;SIREN
576;SYNDICAT DES ENERGIES RENOUVELABLES;419710280;SIREN
576;EVOLEN;534585419;SIREN
576;UNION INDUSTRIES METALLURGIQUES MINIERES;784717191;SIREN
576;CONSEIL DES INDUSTRIES DE LA CONFIANCE ET DE LA SECURITE;829519289;SIREN
576;TOULON VAR TECHNOLOGIES;345245260;SIREN
578;INTERNATIONAL FEDERATION OF ACCOUNTANTS (IFAC);H437625158;HATVP
579;LE CERCLE DE L'INDUSTRIE;394192389;SIREN
579;ASSO FRANCAI ENTREPRIS PRIVEES;326943016;SIREN
579;C.C.F.A;824487581;SIREN
579;ASS EUROPEEN VEHICULE ELECTRIQ ROUTIERS;381166792;SIREN
579;PLATEFORME DE LA FILIERE AUTOMOBILE;524965019;SIREN
581;AFPAC;320014962;SIREN
581;INSTITUT DE L'ECONOMIE CIRCULAIRE;790867493;SIREN
581;SYNDICAT DES ENERGIES RENOUVELABLES;419710280;SIREN
581;FEDERATION DES FAMILLES DE FRANCE;784411829;SIREN
581;CONSEIL NATION ORDRE ARCHITECT;784356354;SIREN
583;F.N.A.R.;537838203;SIREN
584;ASS NATIONALE IND. AGRO ALIMENTAIRES;302664784;SIREN
584;FEDER ENTR INDUST COMM INTERN MECANIQ;784311854;SIREN
587;SERVICES COOP DE FRANCE UNION DES COOPERATIVES AGRICOLES;423093160;SIREN
587;ASSOC LAITIERE FRANCAISE;302964945;SIREN
588;FEDERATION ASS GENERALES ETUDIANTES;397834425;SIREN
589;SYNDICAT NATIONAL DES AGENTS DE VOYAGES;784717522;SIREN
589;FEDERATION ENTREPRISES VENTE A DISTANCE;784854994;SIREN
589;SYNDICAT DES ENTREPRISES DU TOUR OPERATING;798928685;SIREN
590;CTRE D'ETUDES DES SUPPORTS DE PUBLICITE;775690589;SIREN
590;INSTITUT RECHERCH ETUD PUBLICI;784205999;SIREN
590;ARPP AUTORITE DE REGULATION PROFESSIONNELLE DE LA PUBLICITE;307287193;SIREN
591;FEDERATION INTERNATIONALE DES ASSO DE DISTRIBUTEURS DE FILMS;501243166;SIREN
591;ASS DE LUTTE CONTRE LA PIRATERIE AUDIOVI;339337255;SIREN
592;COORDI SOLIDARITE URGENCE DEVELOPPEMENT;398699538;SIREN
595;GROUPE DES FEDERATIONS INDUSTRIELLES;404091621;SIREN
595;MOUVEMENT DES ENTREPRISES DE FRANCE;775347453;SIREN
596;GROUPEMENT DES INDUSTRIES DE CONSTRUCTION ET ACTIVITES NAVALES;784360109;SIREN
597;JEUNES AGRICULTEURS NORMANDIE;793313206;SIREN
599;UNION  TRANSPORTS PUBLICS FERROVIAIRES;784408643;SIREN
603;SYNDICAT NATIONAL DES AGENTS DE VOYAGES;784717522;SIREN
603;SYNDICAT DES ENTREPRISES DU TOUR OPERATING;798928685;SIREN
605;FEDERATION FRANCAISE DU BATIMENT;784668642;SIREN
607;JEUNES AGRICULTEURS GRAND EST;528510993;SIREN
608;PACTE PME;524729407;SIREN
608;CENTRE ETUDE DIRECTEURS ASSOCIAT PROFESS;344299425;SIREN
608;SOC AGRICULTEURS FRANCE;784364259;SIREN
611;CONSEIL NATION ORDRE ARCHITECT;784356354;SIREN
612;F.N.A.R.;537838203;SIREN
614;FNO FEDERATION NATIONALE OVINE;308575125;SIREN
616;FORUM ATOMIQUE INDUSTRIEL FRANCAIS - FAIF -;309020071;SIREN
618;CONFEDE. NATIONALE BOULANGERS PATISSIERS;784668402;SIREN
619;GROUPE DES FEDERATIONS INDUSTRIELLES;404091621;SIREN
619;MOUVEMENT DES ENTREPRISES DE FRANCE;775347453;SIREN
619;UNION INDUSTRIES METIERS METALLURGIE;324642933;SIREN
619;AFNOR CERTIFICATION;479076002;SIREN
619;UNION ROUTIERE DE FRANCE;784361701;SIREN
619;UNION FABRIC. PROTECT PROPRIETE INDUST.;784668709;SIREN
619;PLATEFORME DE LA FILIERE AUTOMOBILE;524965019;SIREN
619;ELLES BOUGENT;491927091;SIREN
619;SOC DES INGENIEURS DE L AUTOMOBILE;352861561;SIREN
619;UTAC HOLDING;824418248;SIREN
620;LES ENTREPRISES DU MEDICAMENT;784668543;SIREN
622;CPME AISNE;449188663;SIREN
624;LES ENTREPRISES DU MEDICAMENT;784668543;SIREN
626;FEDER SYND SOC ETUDES CONSEILS;784179426;SIREN
626;INSTITUT DES ROUTES DES RUES ET DES INFRASTRUCTURES POUR LA MOBILITE;420200271;SIREN
626;O.P.I.I.E.C.;440281186;SIREN
626;ASSOCIATION FER DE FRANCE;801998311;SIREN
626;ALLIANCE POUR L'INDUSTRIE DU FUTUR;813297710;SIREN
626;MEDIACONSTRUCT;381966514;SIREN
627;GROUPEMENT INDUSTR FSES AERONAUT SPACIAL;784668394;SIREN
628;TECH'IN FRANCE;489305367;SIREN
628;ALLIANCE FRANCAISE DES INDUSTRIES DU NUMERIQUE;438608630;SIREN
628;AMERICAIN CHAMBER OF COMMERC;784357329;SIREN
629;AFNOR CERTIFICATION;479076002;SIREN
629;SAFE TECHNOLOGIES;500803390;SIREN
629;HAUT COMITE FRANCAIS DEFENSE CIVILE;333035194;SIREN
629;PEGASE;492957576;SIREN
629;CENTRE TECHNIQUE INDUSTRIES FONDERIE;775686942;SIREN
629;ASSOCIATION FRANCAISE DE NORMALISATION;775724818;SIREN
630;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
631;UNION DES METIERS ET DES INDUSTRIES DE L'HOTELLERIE;794441287;SIREN
634;COMITE EUROPEEN POUR L'ENSEIGNEMENT CATHOLIQUE;H594021160;HATVP
634;OFFICE INTERNATIONAL DE L'ENSEIGNEMENT CATHOLIQUE (OIEC);H489770596;HATVP
635;MOUVEMENT ENTREPRISE FRANCE INTERNATIONA;378236376;SIREN
635;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
635;ASS  A F E C E I;428419287;SIREN
635;PARIS EUROPLACE;393769252;SIREN
635;FONDATION POUR PROSPECTIVE ET INNOVATION;379606833;SIREN
635;CITIZEN ENTREPRENEURS;505005025;SIREN
635;STRATEXIO;811196583;SIREN
635;FEDERATION DES INVESTISSEURS INDIVIDUELS ET DES CLUBS D'INVESTISSEMENT;784206104;SIREN
635;FORUM POUR L'INVESTI RESPONSAB - FRENCH;440698413;SIREN
635;EUROPEAN PRIVATE EQUITY AND VENTURE CAPITAL ASSOCIATION (INVEST EUROPE);H000000036;HATVP
637;FEDERATION FRANCAISE DU BATIMENT;784668642;SIREN
637;FEDERATION NATIONALE DES TP - FNTP;784359788;SIREN
639;LES ENTREPRISES DU MEDICAMENT;784668543;SIREN
639;AFIPA;451446553;SIREN
639;SYND INDUST MEDICAM VETERIN REACTIF;423203645;SIREN
642;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
644;SYNTEC NUMERIQUE;384719001;SIREN
644;GROUPEMENT PERSONNELS SERVICES GPS;378629927;SIREN
644;PARIS - ILE DE FRANCE CAPITALE ECONOMIQUE;401181078;SIREN
644;DZA;388891186;SIREN
646;GROUPEMENT INDUSTR FSES AERONAUT SPACIAL;784668394;SIREN
646;AFEP;391358363;SIREN
646;UNION PATRONALE DEPARMENTALE - MEDEF PARIS;398327098;SIREN
646;LE CERCLE DE L'INDUSTRIE;394192389;SIREN
648;UNION PATRONALE DEPARMENTALE - MEDEF PARIS;398327098;SIREN
648;ASSO FRANCAI ENTREPRIS PRIVEES;326943016;SIREN
648;CHAMBRE DE COMMERCE AMERICAINE EN FRANCE - AMERICAN CHAMBER OF COMMERCE IN FRANCE;W751038014;RNA
648;UNION FABRIC. PROTECT PROPRIETE INDUST.;784668709;SIREN
649;SYNDICAT DES RESEAUX RADIOPHONIQUES NATIONAUX SRN;W751137000;RNA
649;LYSIOS;447525452;SIREN
654;ASS FRANCE BENEVOLAT PARIS;488099615;SIREN
654;MOUVEMENT DES ENTREPRENEURS SOCIAUX;520067786;SIREN
655;CONSEIL DU COMMERCE DE FRANCE;784856528;SIREN
658;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
658;FEDERATION REGIONALE SYNDICAT D EXPLOITATION AGRICOLE DE BOURGOGNE;415211994;SIREN
659;UNION DES ENTREPRISES DE PROXIMITE;349681098;SIREN
661;CTRE REGIONAL JEUNES AGRICULTEURS BRETAG;408373751;SIREN
662;MOUVEMENT DES ENTREPRISES DE FRANCE;775347453;SIREN
662;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
663;ASSOCIATION FRANCAISE DU GAZ;784854820;SIREN
663;ASS UNION FRANCAISE DE L'ELECTRICITE;432492007;SIREN
663;ASSO FRANCAI ENTREPRIS PRIVEES;326943016;SIREN
663;SYNDICAT DES ENERGIES RENOUVELABLES;419710280;SIREN
663;LE CLUSTER MARITIME FRANCAIS;489847624;SIREN
663;TILDER;380780262;SIREN
663;LE CERCLE DE L'INDUSTRIE;394192389;SIREN
663;UPRIGAZ(UNION PROF.INDUSTRIES PRIV. GAZ);429801665;SIREN
664;COMMUNICATION & ENTREPRISE;784178766;SIREN
665;LES ENTREPRISES DU MEDICAMENT;784668543;SIREN
665;ASS GPE INT POUR PHARMACIE DE RECHERCHE;401255468;SIREN
666;SYND NAT DE LA RESTAURATION COLLECTIVE;422475962;SIREN
667;UNION PROF ARTISANALE DU TARN;479286098;SIREN
667;UNION DEPARTEMENTALE DES SYNDICATS C.N.A.M.S DU TARN;803646660;SIREN
668;FESAC;484376678;SIREN
670;ALLIANCE FRANCAISE DES INDUSTRIES DU NUMERIQUE;438608630;SIREN
670;CHAMBRE COMMERCE SUEDOISE EN FRANCE;784358368;SIREN
670;FEDERATION DES INDUSTRIES DES RESEAUX D INITIATIVE PUBLIQUE;790734990;SIREN
670;WBC SARL WINE & BUSINESS CLUB;433933884;SIREN
671;ASSOCIATION DE LA PRESSE POUR LA TRANSPARENCE ECONOMIQUE;789251543;SIREN
671;ASSOCIATION PRESSE ET PLURALISME;512788753;SIREN
671;ASSOCIATION DE LA PRESSE IPG;790358261;SIREN
672;FRANCE HYDRO ELECTRICITE GPAE ECOWATT;420030967;SIREN
673;ASS UNION FRANCAISE DE L'ELECTRICITE;432492007;SIREN
673;FEDENE SERVICES;652027863;SIREN
673;ASSOCIAT TECHNIQUE ENERGIE ENVIRONNEMENT;315062786;SIREN
673;EQUILIBRE DES ENERGIES  - POUR L'EQUILIBRE DES ENERGIES-;532382660;SIREN
673;SYNDICAT DES ENERGIES RENOUVELABLES;419710280;SIREN
673;COMITE INTERPROFESSIONNEL DU BOIS ENERGIE CIBE;491783551;SIREN
674;ASS NATIONALE IND. AGRO ALIMENTAIRES;302664784;SIREN
675;ASSO FRANCAI ENTREPRIS PRIVEES;326943016;SIREN
675;MOUVEMENT DES ENTREPRISES DE FRANCE;784668618;SIREN
675;FEDERATION NATIONALE DES TP - FNTP;784359788;SIREN
675;ENTREPRISE GENERALES FRANCE BATI TRAVAUX;775661937;SIREN
675;ASSO SOC FRANCAISES D AUTOR;325951903;SIREN
676;ASS NATIONALE IND. AGRO ALIMENTAIRES;302664784;SIREN
677;FEDERATION DES INDUSTRIES MECANIQUES;775671688;SIREN
677;FED IDUST ELECTR ELECTRONIQUES  COMMUNIC;775688443;SIREN
679;MOUVEMENT DES ENTREPRISES DE TAILLE INTERMEDIAIRE LES ENTREPRISES DE LONG TERME;403860638;SIREN
679;FEDERATION DU NEGOCE AGRICOLE;332276898;SIREN
679;ASS NATIONAL MEUNERI FRANCAISE;775671811;SIREN
679;FED ENTREP BOULANGER PATISSER FRANCAISES;784717902;SIREN
679;SYNDICAT MAT COMMERCE CEREALES GRAINES;784178949;SIREN
680;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
681;COMITE LIAISON ACTION PARENT HANDICAP;312707250;SIREN
681;ASSOCIATION NATIONALE DES EQUIPES CONTRIBUANT A L'ACTION MEDICO SOCIALE PRECOCE;331329383;SIREN
681;CONSEIL NATION LOISIRS TOURISME ADAPTES;394757199;SIREN
681;AGENCE NATIONALE DE L'EVALUATION ET DE LA QUALITE DES ETS ET DES SERVICES SOCIAUX ET MEDICO-SOCIAUX;130003619;SIREN
681;UNION NATIONALE ASSOCIAT FAMILIALES;784411902;SIREN
681;UNION NATIONALE DES ASSOCIATIONS AGREEES DU SYSTEME DE SANTE;481370039;SIREN
681;CTE NAT COORD ACTION FAVEUR PERSON HANDI;784719817;SIREN
681;ASS CONSEIL FRANCAIS DROITS ENFANT;395141708;SIREN
681;GROUPE POLYHANDICAP FRANCE;442724597;SIREN
681;CONSEIL FR PERS HANDICAP QUESTIONS EUROP;441995065;SIREN
681;ASS TOURISME ET HANDICAPS;439418021;SIREN
682;GECO FOOD SERVICE;309266286;SIREN
682;UNION DES ANNONCEURS;784669533;SIREN
682;INSTITU LIAISON ETUDES INDUSTR CONSOMM;784671075;SIREN
682;ASSOCIATION FRANCAISE DE NORMALISATION;775724818;SIREN
682;ECO EMBALLAGES SA;388380073;SIREN
683;GROUPEMENT DES PROFESSIONS DE SERVICES;477942114;SIREN
683;CENTRE NATIONAL PROFESSSIONS FINANCIERES;784854069;SIREN
683;ASSOCIATION NATIONALE DES MEDIATEURS (A.N.M.);508011319;SIREN
683;MOUVEMENT DES ENTREPRISES DE FRANCE;784668618;SIREN
684;SYND INDUST MEDICAM VETERIN REACTIF;423203645;SIREN
685;COMITE INTERPROF VIN APPELLATION ORIGINE;448179333;SIREN
685;CONF NAT PROD VINS EAUX DE VIE;321410078;SIREN
687;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
690;FEDERATION FRANCAISE DU BATIMENT;784668642;SIREN
691;MOUVEMENT DES ENTREPRISES DE FRANCE;775347453;SIREN
692;UNION  TRANSPORTS PUBLICS FERROVIAIRES;784408643;SIREN
692;LE CERCLE DE L'INDUSTRIE;394192389;SIREN
692;ASS EUROPEEN VEHICULE ELECTRIQ ROUTIERS;381166792;SIREN
692;COMITE DE LIAISON DES ENTREPRISES AYANT EXERCE LEUR ELIGIBILITE;500955331;SIREN
692;ASSOCIATION DES GRANDS UTILISATEURS DE RESEAUX RADIO D'EXPLOITATION (AGURRE);W932004303;RNA
692;IMAGE 7;532572112;SIREN
694;CGPME COMMUNICATION;438965352;SIREN
696;SYNDICAT DES ENERGIES RENOUVELABLES;419710280;SIREN
696;FRANCE ENERGIE EOLIENNE;432446649;SIREN
696;WIND FOR FUTURE;528568090;SIREN
696;OFFICE FRANCO-ALLEMAND POUR LA TRANSITION ENERGETIQUE;793105388;SIREN
697;L'ASSOCIATION DE L'ECONOMIE NUMERIQUE;322387945;SIREN
697;SYNTEC NUMERIQUE;384719001;SIREN
697;UNION DES PROFESSIONNELS DE LA RECHERCHE EN LIGNE DE L'EDITION DE CONTENUS ET DE BASES DE DONNEES;450980164;SIREN
697;GROUPEMENT EDITEURS SERVICES EN LIGNE;347769879;SIREN
697;ASS INTERNET ADVERTISING BUREAU;433370152;SIREN
697;ASSOCIATION TRANSITION NUMERIQUE PLUS;791826324;SIREN
699;Chambre de commerce et d’industrie de Nouvelle-Calédonie;H254400434;HATVP
699;MEDEF NC;H874923941;HATVP
699;SYNDICAT DES PRODUCTEURS-EXPORTATEURS ET EXPORTATEURS DE MINERAI DE NICKEL DE NOUVELLE CALEDONIE - SEM;H636617945;HATVP
699;SYNDICAT DES INDUSTRIES DE LA MINE DE NOUVELLE-CALEDONIE - SIM;H469066090;HATVP
700;SYNDICAT DES ENERGIES RENOUVELABLES;419710280;SIREN
700;LE CLUSTER MARITIME FRANCAIS;489847624;SIREN
700;FRANCE ENERGIE EOLIENNE;432446649;SIREN
700;COMITE LIAISON ENERGIES RENOUVELABLES;352400436;SIREN
701;FEDERATION FRANCAISE DU BATIMENT;784668642;SIREN
702;UNION NATIONALE DES PROFESSIONS LIBERALES;302991591;SIREN
703;GROUPEMENT REGIONAL DES ACTEURS FRANCILIENS D INSERTION PAR L ECONOMIE;823114590;SIREN
703;URIOPSS ILE DE FRANCE;784412710;SIREN
703;FEDER HOSPITALIER ASSIST PRIVE (FEHAP);775666209;SIREN
705;FERERATION REG SYNDICATS EXPL AGRIGOLES;351545512;SIREN
706;FEDERATION NATIONALE TRANSPORTS ROUTIERS;775671746;SIREN
707;LE MOUVEMENT ASSOCIATIF;430349100;SIREN
707;CONFEDERATION OEUVRES LAIQUES VACANCES;775663115;SIREN
707;L'ESPER (L'ECONOMIE SOCIALE PARTENAIRE DE L'ECOLE DE LA REPUBLIQUE);529038382;SIREN
707;COFAC;442724407;SIREN
707;ASS NAT CONSEIL ENFANTS ET JEUNES;382959344;SIREN
707;PARCOURS;821009933;SIREN
707;COMITE NATIONAL DE SOLIDARITE LAIQUE;339797920;SIREN
707;RESEAU NATIONAL DES JUNIORS ASSOCIATIONS;421770850;SIREN
707;LIRE ET FAIRE LIRE;429699788;SIREN
707;COMI RELA NATIO INTER ASSOC JEUN EDUC PO;784579641;SIREN
707;UNION NAT ASSOCIAT TOURISME;775685134;SIREN
707;I.D.ORIZON O ENSEMBLE POUR UN SPORT PARTAGE;824171243;SIREN
708;FEDER FRANCAISE TELECOMS COMMUNICATIONS ELECTRONIQUES;502086325;SIREN
708;AVICCA VILLES CO COM ELECTRO AUDIOVIS;340521301;SIREN
