beneficiaire_action_menee;action_representation_interet_id;action_menee_en_propre
LAFARGE GRANULATS FRANCE;5581;0
SOCIETE NOGENTAISE TRANSPORTS COMBINE;5581;0
COMITE DES ARMATEURS FLUVIAUX;5582;1
LAFARGE GRANULATS FRANCE;5582;0
CHANTIERS DE LA HAUTE SEINE;5582;0
AFTRAL;5582;0
COMPAGNIE DE TRANSPORT DU LAC DU BOURGET-CTLB;5582;0
SEINE ALLIANCE;5582;0
SOC VEDETTES PARIS ILE FRANCE;5582;0
CANAUXRAMA;5582;0
PARIS CANAL;5582;0
CROISIERES TOURISTIQUES FRANCAISES;5582;0
CIE DE NAVIGATION DE HAUTE DORDOGNE - LES NORBERTS;5582;0
SOC MAHIEU;5582;0
AGIS;5582;0
CEMEX GRANULATS;5582;0
GSM;5582;0
ENTREPRISES MORILLON CORVOL COURBOT;5582;0
SOC EXPLOIT VEDETTES PARIS TOUR EIFFEL;5582;0
VIKING RIVER CRUISES AG;5582;0
ALSACE CROISIERES;5582;0
COMPAGNIE LIGERIENNE DE TRANSPORT CLT;5582;0
COMPAGNIE FLUVIALE DE TRANSPORT;5582;0
CARDINAUD-MERCIER;5582;0
LES GRANDS BATEAUX DE PROVENCE;5582;0
SA COMPAGNIE DE NAVIGATION DU LAC D'ANNECY LA COMPAGNIE DES BATE AUX;5582;0
COMPAGNIE DES BATOBUS;5582;0
NAVIG INTER;5582;0
CIE FLUVIALE DE TRANSPORT DE GAZ;5582;0
BLEU SEINE;5582;0
BATEAUX DE PARIS ET DE L'ILE DE FRANCE;5582;0
QUERCY DECOUVERTES;5582;0
LOGISEINE;5582;0
PARIS SEINE;5582;0
PARIS TERMINAL SA;5582;0
L.M.P.S;5582;0
YACHTS DE PARIS;5582;0
BATEAUX NANTAIS;5582;0
MARINA DE BERCY;5582;0
GREENMODAL TRANSPORT;5582;0
SCAT TRADING CENTER;5582;0
AS ENERGY;5582;0
SIT'ALTERNATIF;5582;0
COALIS;5582;0
FLUVIOFEEDER ARMEMENT;5582;0
COMPAGNIE DE LA SEINE;5582;0
COEUR D'ESTUAIRE;5582;0
COMPAGNIE DES BATEAUX MOUCHES;5582;0
VEDETTES DU PONT NEUF;5582;0
BATORAMA;5582;0
SOCIETE NOGENTAISE TRANSPORTS COMBINE;5582;0
MSC MEDITERRANEAN SHIPPING COMPANY FRANCE SA;5582;0
COMITE DES ARMATEURS FLUVIAUX;5583;1
MSC MEDITERRANEAN SHIPPING COMPANY FRANCE SA;5583;0
CEMEX GRANULATS;5583;0
GSM;5583;0
ENTREPRISES MORILLON CORVOL COURBOT;5583;0
COMPAGNIE FLUVIALE DE TRANSPORT;5583;0
CIE FLUVIALE DE TRANSPORT DE GAZ;5583;0
LOGISEINE;5583;0
L.M.P.S;5583;0
GREENMODAL TRANSPORT;5583;0
SCAT TRADING CENTER;5583;0
SIT'ALTERNATIF;5583;0
COALIS;5583;0
FLUVIOFEEDER ARMEMENT;5583;0
COMPAGNIE DES BATEAUX MOUCHES;5583;0
LAFARGE GRANULATS FRANCE;5583;0
SOCIETE NOGENTAISE TRANSPORTS COMBINE;5583;0
COMITE DES ARMATEURS FLUVIAUX;5584;1
LAFARGE GRANULATS FRANCE;5584;0
CHANTIERS DE LA HAUTE SEINE;5584;0
COMPAGNIE DE TRANSPORT DU LAC DU BOURGET-CTLB;5584;0
SEINE ALLIANCE;5584;0
SOC VEDETTES PARIS ILE FRANCE;5584;0
CANAUXRAMA;5584;0
PARIS CANAL;5584;0
CROISIERES TOURISTIQUES FRANCAISES;5584;0
CIE DE NAVIGATION DE HAUTE DORDOGNE - LES NORBERTS;5584;0
SOC MAHIEU;5584;0
AGIS;5584;0
CEMEX GRANULATS;5584;0
GSM;5584;0
ENTREPRISES MORILLON CORVOL COURBOT;5584;0
SOC EXPLOIT VEDETTES PARIS TOUR EIFFEL;5584;0
VIKING RIVER CRUISES AG;5584;0
ALSACE CROISIERES;5584;0
COMPAGNIE LIGERIENNE DE TRANSPORT CLT;5584;0
COMPAGNIE FLUVIALE DE TRANSPORT;5584;0
CARDINAUD-MERCIER;5584;0
LES GRANDS BATEAUX DE PROVENCE;5584;0
SA COMPAGNIE DE NAVIGATION DU LAC D'ANNECY LA COMPAGNIE DES BATE AUX;5584;0
COMPAGNIE DES BATOBUS;5584;0
NAVIG INTER;5584;0
CIE FLUVIALE DE TRANSPORT DE GAZ;5584;0
BLEU SEINE;5584;0
BATEAUX DE PARIS ET DE L'ILE DE FRANCE;5584;0
QUERCY DECOUVERTES;5584;0
LOGISEINE;5584;0
PARIS SEINE;5584;0
L.M.P.S;5584;0
YACHTS DE PARIS;5584;0
BATEAUX NANTAIS;5584;0
MARINA DE BERCY;5584;0
GREENMODAL TRANSPORT;5584;0
SCAT TRADING CENTER;5584;0
AS ENERGY;5584;0
SIT'ALTERNATIF;5584;0
COALIS;5584;0
FLUVIOFEEDER ARMEMENT;5584;0
COMPAGNIE DE LA SEINE;5584;0
COEUR D'ESTUAIRE;5584;0
COMPAGNIE DES BATEAUX MOUCHES;5584;0
VEDETTES DU PONT NEUF;5584;0
BATORAMA;5584;0
SOCIETE NOGENTAISE TRANSPORTS COMBINE;5584;0
MSC MEDITERRANEAN SHIPPING COMPANY FRANCE SA;5584;0
CHANTIERS DE LA HAUTE SEINE;5585;0
COMITE DES ARMATEURS FLUVIAUX;5585;1
SEINE ALLIANCE;5585;0
MSC MEDITERRANEAN SHIPPING COMPANY FRANCE SA;5585;0
SOC VEDETTES PARIS ILE FRANCE;5585;0
CANAUXRAMA;5585;0
PARIS CANAL;5585;0
AGIS;5585;0
CEMEX GRANULATS;5585;0
GSM;5585;0
ENTREPRISES MORILLON CORVOL COURBOT;5585;0
SOC EXPLOIT VEDETTES PARIS TOUR EIFFEL;5585;0
VIKING RIVER CRUISES AG;5585;0
ALSACE CROISIERES;5585;0
COMPAGNIE FLUVIALE DE TRANSPORT;5585;0
COMPAGNIE DES BATOBUS;5585;0
BLEU SEINE;5585;0
BATEAUX DE PARIS ET DE L'ILE DE FRANCE;5585;0
LOGISEINE;5585;0
PARIS SEINE;5585;0
YACHTS DE PARIS;5585;0
MARINA DE BERCY;5585;0
GREENMODAL TRANSPORT;5585;0
SCAT TRADING CENTER;5585;0
AS ENERGY;5585;0
SIT'ALTERNATIF;5585;0
COALIS;5585;0
FLUVIOFEEDER ARMEMENT;5585;0
COMPAGNIE DE LA SEINE;5585;0
COMPAGNIE DES BATEAUX MOUCHES;5585;0
VEDETTES DU PONT NEUF;5585;0
LAFARGE GRANULATS FRANCE;5585;0
SOCIETE NOGENTAISE TRANSPORTS COMBINE;5585;0
COMITE DES ARMATEURS FLUVIAUX;5586;1
LAFARGE GRANULATS FRANCE;5586;0
CHANTIERS DE LA HAUTE SEINE;5586;0
AFTRAL;5586;0
COMPAGNIE DE TRANSPORT DU LAC DU BOURGET-CTLB;5586;0
SEINE ALLIANCE;5586;0
SOC VEDETTES PARIS ILE FRANCE;5586;0
CANAUXRAMA;5586;0
PARIS CANAL;5586;0
CROISIERES TOURISTIQUES FRANCAISES;5586;0
CIE DE NAVIGATION DE HAUTE DORDOGNE - LES NORBERTS;5586;0
SOC MAHIEU;5586;0
AGIS;5586;0
CEMEX GRANULATS;5586;0
GSM;5586;0
ENTREPRISES MORILLON CORVOL COURBOT;5586;0
SOC EXPLOIT VEDETTES PARIS TOUR EIFFEL;5586;0
VIKING RIVER CRUISES AG;5586;0
ALSACE CROISIERES;5586;0
COMPAGNIE LIGERIENNE DE TRANSPORT CLT;5586;0
COMPAGNIE FLUVIALE DE TRANSPORT;5586;0
CARDINAUD-MERCIER;5586;0
LES GRANDS BATEAUX DE PROVENCE;5586;0
SA COMPAGNIE DE NAVIGATION DU LAC D'ANNECY LA COMPAGNIE DES BATE AUX;5586;0
COMPAGNIE DES BATOBUS;5586;0
NAVIG INTER;5586;0
CIE FLUVIALE DE TRANSPORT DE GAZ;5586;0
BLEU SEINE;5586;0
BATEAUX DE PARIS ET DE L'ILE DE FRANCE;5586;0
QUERCY DECOUVERTES;5586;0
LOGISEINE;5586;0
PARIS SEINE;5586;0
PARIS TERMINAL SA;5586;0
L.M.P.S;5586;0
YACHTS DE PARIS;5586;0
BATEAUX NANTAIS;5586;0
MARINA DE BERCY;5586;0
GREENMODAL TRANSPORT;5586;0
SCAT TRADING CENTER;5586;0
AS ENERGY;5586;0
SIT'ALTERNATIF;5586;0
COALIS;5586;0
FLUVIOFEEDER ARMEMENT;5586;0
COMPAGNIE DE LA SEINE;5586;0
COEUR D'ESTUAIRE;5586;0
COMPAGNIE DES BATEAUX MOUCHES;5586;0
VEDETTES DU PONT NEUF;5586;0
BATORAMA;5586;0
SOCIETE NOGENTAISE TRANSPORTS COMBINE;5586;0
MSC MEDITERRANEAN SHIPPING COMPANY FRANCE SA;5586;0
COMITE DES ARMATEURS FLUVIAUX;5587;1
LAFARGE GRANULATS FRANCE;5587;0
CHANTIERS DE LA HAUTE SEINE;5587;0
AFTRAL;5587;0
COMPAGNIE DE TRANSPORT DU LAC DU BOURGET-CTLB;5587;0
SEINE ALLIANCE;5587;0
SOC VEDETTES PARIS ILE FRANCE;5587;0
CANAUXRAMA;5587;0
PARIS CANAL;5587;0
CROISIERES TOURISTIQUES FRANCAISES;5587;0
CIE DE NAVIGATION DE HAUTE DORDOGNE - LES NORBERTS;5587;0
SOC MAHIEU;5587;0
AGIS;5587;0
CEMEX GRANULATS;5587;0
GSM;5587;0
ENTREPRISES MORILLON CORVOL COURBOT;5587;0
SOC EXPLOIT VEDETTES PARIS TOUR EIFFEL;5587;0
VIKING RIVER CRUISES AG;5587;0
ALSACE CROISIERES;5587;0
COMPAGNIE LIGERIENNE DE TRANSPORT CLT;5587;0
COMPAGNIE FLUVIALE DE TRANSPORT;5587;0
CARDINAUD-MERCIER;5587;0
LES GRANDS BATEAUX DE PROVENCE;5587;0
SA COMPAGNIE DE NAVIGATION DU LAC D'ANNECY LA COMPAGNIE DES BATE AUX;5587;0
COMPAGNIE DES BATOBUS;5587;0
NAVIG INTER;5587;0
CIE FLUVIALE DE TRANSPORT DE GAZ;5587;0
BLEU SEINE;5587;0
BATEAUX DE PARIS ET DE L'ILE DE FRANCE;5587;0
QUERCY DECOUVERTES;5587;0
LOGISEINE;5587;0
PARIS SEINE;5587;0
PARIS TERMINAL SA;5587;0
L.M.P.S;5587;0
YACHTS DE PARIS;5587;0
BATEAUX NANTAIS;5587;0
MARINA DE BERCY;5587;0
GREENMODAL TRANSPORT;5587;0
SCAT TRADING CENTER;5587;0
AS ENERGY;5587;0
SIT'ALTERNATIF;5587;0
COALIS;5587;0
FLUVIOFEEDER ARMEMENT;5587;0
COMPAGNIE DE LA SEINE;5587;0
COEUR D'ESTUAIRE;5587;0
COMPAGNIE DES BATEAUX MOUCHES;5587;0
VEDETTES DU PONT NEUF;5587;0
BATORAMA;5587;0
SOCIETE NOGENTAISE TRANSPORTS COMBINE;5587;0
MSC MEDITERRANEAN SHIPPING COMPANY FRANCE SA;5587;0
COMITE DES ARMATEURS FLUVIAUX;5588;1
LAFARGE GRANULATS FRANCE;5588;0
CHANTIERS DE LA HAUTE SEINE;5588;0
AFTRAL;5588;0
COMPAGNIE DE TRANSPORT DU LAC DU BOURGET-CTLB;5588;0
SEINE ALLIANCE;5588;0
SOC VEDETTES PARIS ILE FRANCE;5588;0
CANAUXRAMA;5588;0
PARIS CANAL;5588;0
CROISIERES TOURISTIQUES FRANCAISES;5588;0
CIE DE NAVIGATION DE HAUTE DORDOGNE - LES NORBERTS;5588;0
SOC MAHIEU;5588;0
AGIS;5588;0
CEMEX GRANULATS;5588;0
GSM;5588;0
ENTREPRISES MORILLON CORVOL COURBOT;5588;0
SOC EXPLOIT VEDETTES PARIS TOUR EIFFEL;5588;0
VIKING RIVER CRUISES AG;5588;0
ALSACE CROISIERES;5588;0
COMPAGNIE LIGERIENNE DE TRANSPORT CLT;5588;0
COMPAGNIE FLUVIALE DE TRANSPORT;5588;0
CARDINAUD-MERCIER;5588;0
LES GRANDS BATEAUX DE PROVENCE;5588;0
SA COMPAGNIE DE NAVIGATION DU LAC D'ANNECY LA COMPAGNIE DES BATE AUX;5588;0
COMPAGNIE DES BATOBUS;5588;0
NAVIG INTER;5588;0
CIE FLUVIALE DE TRANSPORT DE GAZ;5588;0
BLEU SEINE;5588;0
BATEAUX DE PARIS ET DE L'ILE DE FRANCE;5588;0
QUERCY DECOUVERTES;5588;0
LOGISEINE;5588;0
PARIS SEINE;5588;0
PARIS TERMINAL SA;5588;0
L.M.P.S;5588;0
YACHTS DE PARIS;5588;0
BATEAUX NANTAIS;5588;0
MARINA DE BERCY;5588;0
GREENMODAL TRANSPORT;5588;0
SCAT TRADING CENTER;5588;0
AS ENERGY;5588;0
SIT'ALTERNATIF;5588;0
COALIS;5588;0
FLUVIOFEEDER ARMEMENT;5588;0
COMPAGNIE DE LA SEINE;5588;0
COEUR D'ESTUAIRE;5588;0
COMPAGNIE DES BATEAUX MOUCHES;5588;0
VEDETTES DU PONT NEUF;5588;0
BATORAMA;5588;0
SOCIETE NOGENTAISE TRANSPORTS COMBINE;5588;0
MSC MEDITERRANEAN SHIPPING COMPANY FRANCE SA;5588;0
COMITE DES ARMATEURS FLUVIAUX;5589;1
LAFARGE GRANULATS FRANCE;5589;0
CHANTIERS DE LA HAUTE SEINE;5589;0
AFTRAL;5589;0
COMPAGNIE DE TRANSPORT DU LAC DU BOURGET-CTLB;5589;0
SEINE ALLIANCE;5589;0
SOC VEDETTES PARIS ILE FRANCE;5589;0
CANAUXRAMA;5589;0
PARIS CANAL;5589;0
CROISIERES TOURISTIQUES FRANCAISES;5589;0
CIE DE NAVIGATION DE HAUTE DORDOGNE - LES NORBERTS;5589;0
SOC MAHIEU;5589;0
AGIS;5589;0
CEMEX GRANULATS;5589;0
GSM;5589;0
ENTREPRISES MORILLON CORVOL COURBOT;5589;0
SOC EXPLOIT VEDETTES PARIS TOUR EIFFEL;5589;0
VIKING RIVER CRUISES AG;5589;0
ALSACE CROISIERES;5589;0
COMPAGNIE LIGERIENNE DE TRANSPORT CLT;5589;0
COMPAGNIE FLUVIALE DE TRANSPORT;5589;0
CARDINAUD-MERCIER;5589;0
LES GRANDS BATEAUX DE PROVENCE;5589;0
SA COMPAGNIE DE NAVIGATION DU LAC D'ANNECY LA COMPAGNIE DES BATE AUX;5589;0
COMPAGNIE DES BATOBUS;5589;0
NAVIG INTER;5589;0
CIE FLUVIALE DE TRANSPORT DE GAZ;5589;0
BLEU SEINE;5589;0
BATEAUX DE PARIS ET DE L'ILE DE FRANCE;5589;0
QUERCY DECOUVERTES;5589;0
LOGISEINE;5589;0
PARIS SEINE;5589;0
PARIS TERMINAL SA;5589;0
L.M.P.S;5589;0
YACHTS DE PARIS;5589;0
BATEAUX NANTAIS;5589;0
MARINA DE BERCY;5589;0
GREENMODAL TRANSPORT;5589;0
SCAT TRADING CENTER;5589;0
AS ENERGY;5589;0
SIT'ALTERNATIF;5589;0
COALIS;5589;0
FLUVIOFEEDER ARMEMENT;5589;0
COMPAGNIE DE LA SEINE;5589;0
COEUR D'ESTUAIRE;5589;0
COMPAGNIE DES BATEAUX MOUCHES;5589;0
VEDETTES DU PONT NEUF;5589;0
BATORAMA;5589;0
SOCIETE NOGENTAISE TRANSPORTS COMBINE;5589;0
MSC MEDITERRANEAN SHIPPING COMPANY FRANCE SA;5589;0
COMITE DES ARMATEURS FLUVIAUX;5590;1
MSC MEDITERRANEAN SHIPPING COMPANY FRANCE SA;5590;0
COMPAGNIE LIGERIENNE DE TRANSPORT CLT;5590;0
COMPAGNIE FLUVIALE DE TRANSPORT;5590;0
LOGISEINE;5590;0
PARIS TERMINAL SA;5590;0
GREENMODAL TRANSPORT;5590;0
SCAT TRADING CENTER;5590;0
FLUVIOFEEDER ARMEMENT;5590;0
SOCIETE NOGENTAISE TRANSPORTS COMBINE;5590;0
COMPAGNIE DE TRANSPORT DU LAC DU BOURGET-CTLB;5591;0
COMITE DES ARMATEURS FLUVIAUX;5591;1
SEINE ALLIANCE;5591;0
SOC VEDETTES PARIS ILE FRANCE;5591;0
CANAUXRAMA;5591;0
PARIS CANAL;5591;0
CROISIERES TOURISTIQUES FRANCAISES;5591;0
CIE DE NAVIGATION DE HAUTE DORDOGNE - LES NORBERTS;5591;0
AGIS;5591;0
SOC EXPLOIT VEDETTES PARIS TOUR EIFFEL;5591;0
VIKING RIVER CRUISES AG;5591;0
ALSACE CROISIERES;5591;0
CARDINAUD-MERCIER;5591;0
LES GRANDS BATEAUX DE PROVENCE;5591;0
SA COMPAGNIE DE NAVIGATION DU LAC D'ANNECY LA COMPAGNIE DES BATE AUX;5591;0
COMPAGNIE DES BATOBUS;5591;0
NAVIG INTER;5591;0
BLEU SEINE;5591;0
BATEAUX DE PARIS ET DE L'ILE DE FRANCE;5591;0
QUERCY DECOUVERTES;5591;0
PARIS SEINE;5591;0
YACHTS DE PARIS;5591;0
BATEAUX NANTAIS;5591;0
MARINA DE BERCY;5591;0
AS ENERGY;5591;0
COMPAGNIE DE LA SEINE;5591;0
COEUR D'ESTUAIRE;5591;0
COMPAGNIE DES BATEAUX MOUCHES;5591;0
VEDETTES DU PONT NEUF;5591;0
BATORAMA;5591;0
COMITE DES ARMATEURS FLUVIAUX;5592;1
LAFARGE GRANULATS FRANCE;5592;0
CHANTIERS DE LA HAUTE SEINE;5592;0
AFTRAL;5592;0
COMPAGNIE DE TRANSPORT DU LAC DU BOURGET-CTLB;5592;0
SEINE ALLIANCE;5592;0
SOC VEDETTES PARIS ILE FRANCE;5592;0
CANAUXRAMA;5592;0
PARIS CANAL;5592;0
CROISIERES TOURISTIQUES FRANCAISES;5592;0
CIE DE NAVIGATION DE HAUTE DORDOGNE - LES NORBERTS;5592;0
SOC MAHIEU;5592;0
AGIS;5592;0
CEMEX GRANULATS;5592;0
GSM;5592;0
ENTREPRISES MORILLON CORVOL COURBOT;5592;0
SOC EXPLOIT VEDETTES PARIS TOUR EIFFEL;5592;0
VIKING RIVER CRUISES AG;5592;0
ALSACE CROISIERES;5592;0
COMPAGNIE LIGERIENNE DE TRANSPORT CLT;5592;0
COMPAGNIE FLUVIALE DE TRANSPORT;5592;0
CARDINAUD-MERCIER;5592;0
LES GRANDS BATEAUX DE PROVENCE;5592;0
SA COMPAGNIE DE NAVIGATION DU LAC D'ANNECY LA COMPAGNIE DES BATE AUX;5592;0
COMPAGNIE DES BATOBUS;5592;0
NAVIG INTER;5592;0
CIE FLUVIALE DE TRANSPORT DE GAZ;5592;0
BLEU SEINE;5592;0
BATEAUX DE PARIS ET DE L'ILE DE FRANCE;5592;0
QUERCY DECOUVERTES;5592;0
LOGISEINE;5592;0
PARIS SEINE;5592;0
PARIS TERMINAL SA;5592;0
L.M.P.S;5592;0
YACHTS DE PARIS;5592;0
BATEAUX NANTAIS;5592;0
MARINA DE BERCY;5592;0
GREENMODAL TRANSPORT;5592;0
SCAT TRADING CENTER;5592;0
AS ENERGY;5592;0
SIT'ALTERNATIF;5592;0
COALIS;5592;0
FLUVIOFEEDER ARMEMENT;5592;0
COMPAGNIE DE LA SEINE;5592;0
COEUR D'ESTUAIRE;5592;0
COMPAGNIE DES BATEAUX MOUCHES;5592;0
VEDETTES DU PONT NEUF;5592;0
BATORAMA;5592;0
SOCIETE NOGENTAISE TRANSPORTS COMBINE;5592;0
MSC MEDITERRANEAN SHIPPING COMPANY FRANCE SA;5592;0
CHANTIERS DE LA HAUTE SEINE;5593;0
AFTRAL;5593;0
COMPAGNIE DE TRANSPORT DU LAC DU BOURGET-CTLB;5593;0
SEINE ALLIANCE;5593;0
MSC MEDITERRANEAN SHIPPING COMPANY FRANCE SA;5593;0
SOC VEDETTES PARIS ILE FRANCE;5593;0
CANAUXRAMA;5593;0
PARIS CANAL;5593;0
CROISIERES TOURISTIQUES FRANCAISES;5593;0
CIE DE NAVIGATION DE HAUTE DORDOGNE - LES NORBERTS;5593;0
SOC MAHIEU;5593;0
AGIS;5593;0
CEMEX GRANULATS;5593;0
GSM;5593;0
ENTREPRISES MORILLON CORVOL COURBOT;5593;0
SOC EXPLOIT VEDETTES PARIS TOUR EIFFEL;5593;0
VIKING RIVER CRUISES AG;5593;0
ALSACE CROISIERES;5593;0
COMPAGNIE LIGERIENNE DE TRANSPORT CLT;5593;0
COMPAGNIE FLUVIALE DE TRANSPORT;5593;0
CARDINAUD-MERCIER;5593;0
LES GRANDS BATEAUX DE PROVENCE;5593;0
SA COMPAGNIE DE NAVIGATION DU LAC D'ANNECY LA COMPAGNIE DES BATE AUX;5593;0
COMPAGNIE DES BATOBUS;5593;0
NAVIG INTER;5593;0
CIE FLUVIALE DE TRANSPORT DE GAZ;5593;0
BLEU SEINE;5593;0
BATEAUX DE PARIS ET DE L'ILE DE FRANCE;5593;0
QUERCY DECOUVERTES;5593;0
LOGISEINE;5593;0
PARIS SEINE;5593;0
PARIS TERMINAL SA;5593;0
L.M.P.S;5593;0
YACHTS DE PARIS;5593;0
BATEAUX NANTAIS;5593;0
MARINA DE BERCY;5593;0
GREENMODAL TRANSPORT;5593;0
SCAT TRADING CENTER;5593;0
AS ENERGY;5593;0
SIT'ALTERNATIF;5593;0
COALIS;5593;0
FLUVIOFEEDER ARMEMENT;5593;0
COMPAGNIE DE LA SEINE;5593;0
COEUR D'ESTUAIRE;5593;0
COMPAGNIE DES BATEAUX MOUCHES;5593;0
VEDETTES DU PONT NEUF;5593;0
BATORAMA;5593;0
LAFARGE GRANULATS FRANCE;5593;0
SOCIETE NOGENTAISE TRANSPORTS COMBINE;5593;0
CHANTIERS DE LA HAUTE SEINE;5594;0
AFTRAL;5594;0
COMPAGNIE DE TRANSPORT DU LAC DU BOURGET-CTLB;5594;0
SEINE ALLIANCE;5594;0
MSC MEDITERRANEAN SHIPPING COMPANY FRANCE SA;5594;0
SOC VEDETTES PARIS ILE FRANCE;5594;0
CANAUXRAMA;5594;0
PARIS CANAL;5594;0
CROISIERES TOURISTIQUES FRANCAISES;5594;0
CIE DE NAVIGATION DE HAUTE DORDOGNE - LES NORBERTS;5594;0
SOC MAHIEU;5594;0
AGIS;5594;0
CEMEX GRANULATS;5594;0
GSM;5594;0
ENTREPRISES MORILLON CORVOL COURBOT;5594;0
SOC EXPLOIT VEDETTES PARIS TOUR EIFFEL;5594;0
VIKING RIVER CRUISES AG;5594;0
ALSACE CROISIERES;5594;0
COMPAGNIE LIGERIENNE DE TRANSPORT CLT;5594;0
COMPAGNIE FLUVIALE DE TRANSPORT;5594;0
CARDINAUD-MERCIER;5594;0
LES GRANDS BATEAUX DE PROVENCE;5594;0
SA COMPAGNIE DE NAVIGATION DU LAC D'ANNECY LA COMPAGNIE DES BATE AUX;5594;0
COMPAGNIE DES BATOBUS;5594;0
NAVIG INTER;5594;0
CIE FLUVIALE DE TRANSPORT DE GAZ;5594;0
BLEU SEINE;5594;0
BATEAUX DE PARIS ET DE L'ILE DE FRANCE;5594;0
QUERCY DECOUVERTES;5594;0
LOGISEINE;5594;0
PARIS SEINE;5594;0
PARIS TERMINAL SA;5594;0
L.M.P.S;5594;0
YACHTS DE PARIS;5594;0
BATEAUX NANTAIS;5594;0
MARINA DE BERCY;5594;0
GREENMODAL TRANSPORT;5594;0
SCAT TRADING CENTER;5594;0
AS ENERGY;5594;0
SIT'ALTERNATIF;5594;0
COALIS;5594;0
FLUVIOFEEDER ARMEMENT;5594;0
COMPAGNIE DE LA SEINE;5594;0
COEUR D'ESTUAIRE;5594;0
COMPAGNIE DES BATEAUX MOUCHES;5594;0
VEDETTES DU PONT NEUF;5594;0
BATORAMA;5594;0
LAFARGE GRANULATS FRANCE;5594;0
SOCIETE NOGENTAISE TRANSPORTS COMBINE;5594;0
CHANTIERS DE LA HAUTE SEINE;5595;0
AFTRAL;5595;0
COMPAGNIE DE TRANSPORT DU LAC DU BOURGET-CTLB;5595;0
SEINE ALLIANCE;5595;0
MSC MEDITERRANEAN SHIPPING COMPANY FRANCE SA;5595;0
SOC VEDETTES PARIS ILE FRANCE;5595;0
CANAUXRAMA;5595;0
PARIS CANAL;5595;0
CROISIERES TOURISTIQUES FRANCAISES;5595;0
CIE DE NAVIGATION DE HAUTE DORDOGNE - LES NORBERTS;5595;0
SOC MAHIEU;5595;0
AGIS;5595;0
CEMEX GRANULATS;5595;0
GSM;5595;0
ENTREPRISES MORILLON CORVOL COURBOT;5595;0
SOC EXPLOIT VEDETTES PARIS TOUR EIFFEL;5595;0
VIKING RIVER CRUISES AG;5595;0
ALSACE CROISIERES;5595;0
COMPAGNIE LIGERIENNE DE TRANSPORT CLT;5595;0
COMPAGNIE FLUVIALE DE TRANSPORT;5595;0
CARDINAUD-MERCIER;5595;0
LES GRANDS BATEAUX DE PROVENCE;5595;0
SA COMPAGNIE DE NAVIGATION DU LAC D'ANNECY LA COMPAGNIE DES BATE AUX;5595;0
COMPAGNIE DES BATOBUS;5595;0
NAVIG INTER;5595;0
CIE FLUVIALE DE TRANSPORT DE GAZ;5595;0
BLEU SEINE;5595;0
BATEAUX DE PARIS ET DE L'ILE DE FRANCE;5595;0
QUERCY DECOUVERTES;5595;0
LOGISEINE;5595;0
PARIS SEINE;5595;0
PARIS TERMINAL SA;5595;0
L.M.P.S;5595;0
YACHTS DE PARIS;5595;0
BATEAUX NANTAIS;5595;0
MARINA DE BERCY;5595;0
GREENMODAL TRANSPORT;5595;0
SCAT TRADING CENTER;5595;0
AS ENERGY;5595;0
SIT'ALTERNATIF;5595;0
COALIS;5595;0
FLUVIOFEEDER ARMEMENT;5595;0
COMPAGNIE DE LA SEINE;5595;0
COEUR D'ESTUAIRE;5595;0
COMPAGNIE DES BATEAUX MOUCHES;5595;0
VEDETTES DU PONT NEUF;5595;0
BATORAMA;5595;0
LAFARGE GRANULATS FRANCE;5595;0
SOCIETE NOGENTAISE TRANSPORTS COMBINE;5595;0
MSC MEDITERRANEAN SHIPPING COMPANY FRANCE SA;5596;0
COMPAGNIE FLUVIALE DE TRANSPORT;5596;0
LOGISEINE;5596;0
GREENMODAL TRANSPORT;5596;0
SCAT TRADING CENTER;5596;0
SOCIETE NOGENTAISE TRANSPORTS COMBINE;5596;0
LAFARGE GRANULATS FRANCE;5597;0
CHANTIERS DE LA HAUTE SEINE;5597;0
SEINE ALLIANCE;5597;0
SOC VEDETTES PARIS ILE FRANCE;5597;0
CANAUXRAMA;5597;0
PARIS CANAL;5597;0
SOC MAHIEU;5597;0
AGIS;5597;0
CEMEX GRANULATS;5597;0
GSM;5597;0
ENTREPRISES MORILLON CORVOL COURBOT;5597;0
SOC EXPLOIT VEDETTES PARIS TOUR EIFFEL;5597;0
VIKING RIVER CRUISES AG;5597;0
ALSACE CROISIERES;5597;0
COMPAGNIE FLUVIALE DE TRANSPORT;5597;0
CARDINAUD-MERCIER;5597;0
COMPAGNIE DES BATOBUS;5597;0
NAVIG INTER;5597;0
CIE FLUVIALE DE TRANSPORT DE GAZ;5597;0
BLEU SEINE;5597;0
BATEAUX DE PARIS ET DE L'ILE DE FRANCE;5597;0
LOGISEINE;5597;0
PARIS SEINE;5597;0
PARIS TERMINAL SA;5597;0
L.M.P.S;5597;0
YACHTS DE PARIS;5597;0
MARINA DE BERCY;5597;0
GREENMODAL TRANSPORT;5597;0
SCAT TRADING CENTER;5597;0
AS ENERGY;5597;0
SIT'ALTERNATIF;5597;0
COALIS;5597;0
FLUVIOFEEDER ARMEMENT;5597;0
COMPAGNIE DE LA SEINE;5597;0
COMPAGNIE DES BATEAUX MOUCHES;5597;0
VEDETTES DU PONT NEUF;5597;0
BATORAMA;5597;0
TF SERVICES FRANCE SARL;5598;0
TF SERVICES FRANCE SARL;5599;0
TF SERVICES FRANCE SARL;5600;0
