action_menee;action_representation_interet_id;action_menee_autre
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;3966;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;3966;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;3967;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;3967;
Organiser des discussions informelles ou des réunions en tête-à-tête;3968;
Etablir une correspondance régulière (par courriel, par courrier…);3968;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;3969;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;3969;
Organiser des discussions informelles ou des réunions en tête-à-tête;3970;
Etablir une correspondance régulière (par courriel, par courrier…);3970;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;3971;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;3971;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;3972;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;3972;
Organiser des discussions informelles ou des réunions en tête-à-tête;3973;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;3973;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;3973;
Organiser des discussions informelles ou des réunions en tête-à-tête;3974;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;3974;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;3974;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;3975;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;3975;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;3976;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;3976;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;3977;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;3977;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;3978;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;3978;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;3979;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;3979;
Organiser des discussions informelles ou des réunions en tête-à-tête;3980;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;3980;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;3981;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;3981;
Organiser des discussions informelles ou des réunions en tête-à-tête;3982;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;3982;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;3983;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;3983;
Organiser des discussions informelles ou des réunions en tête-à-tête;3984;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;3984;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;3985;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;3985;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;3986;
Organiser des discussions informelles ou des réunions en tête-à-tête;3987;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;3987;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;3988;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;3989;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;3990;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;3991;
Organiser des discussions informelles ou des réunions en tête-à-tête;3992;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;3992;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;3992;
Organiser des discussions informelles ou des réunions en tête-à-tête;3993;
Organiser des discussions informelles ou des réunions en tête-à-tête;3994;Diffusion d'un courrier présentant l'état du projet
Autres : à préciser;3994;Diffusion d'un courrier présentant l'état du projet
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;3995;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;3996;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;3997;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;3998;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;3999;
Organiser des discussions informelles ou des réunions en tête-à-tête;4000;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4000;
Organiser des discussions informelles ou des réunions en tête-à-tête;4001;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4001;
Organiser des discussions informelles ou des réunions en tête-à-tête;4002;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4002;
Etablir une correspondance régulière (par courriel, par courrier…);4002;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4003;
Organiser des discussions informelles ou des réunions en tête-à-tête;4004;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4004;
Organiser des discussions informelles ou des réunions en tête-à-tête;4005;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4005;
Etablir une correspondance régulière (par courriel, par courrier…);4005;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4006;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;4006;
Organiser des discussions informelles ou des réunions en tête-à-tête;4007;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4007;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4007;
Etablir une correspondance régulière (par courriel, par courrier…);4007;
Organiser des discussions informelles ou des réunions en tête-à-tête;4008;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4008;
Organiser des discussions informelles ou des réunions en tête-à-tête;4009;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4009;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4009;
Etablir une correspondance régulière (par courriel, par courrier…);4009;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;4009;
Organiser des discussions informelles ou des réunions en tête-à-tête;4010;
Etablir une correspondance régulière (par courriel, par courrier…);4010;
Organiser des discussions informelles ou des réunions en tête-à-tête;4011;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4011;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4011;
Etablir une correspondance régulière (par courriel, par courrier…);4011;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;4011;
Organiser des discussions informelles ou des réunions en tête-à-tête;4012;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4012;
Etablir une correspondance régulière (par courriel, par courrier…);4012;
Organiser des discussions informelles ou des réunions en tête-à-tête;4013;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4013;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4013;
Etablir une correspondance régulière (par courriel, par courrier…);4013;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;4013;
Organiser des discussions informelles ou des réunions en tête-à-tête;4014;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4014;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4014;
Etablir une correspondance régulière (par courriel, par courrier…);4014;
Organiser des discussions informelles ou des réunions en tête-à-tête;4015;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4015;
Etablir une correspondance régulière (par courriel, par courrier…);4015;
Organiser des discussions informelles ou des réunions en tête-à-tête;4016;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4016;
Etablir une correspondance régulière (par courriel, par courrier…);4016;
Organiser des discussions informelles ou des réunions en tête-à-tête;4017;
Organiser des discussions informelles ou des réunions en tête-à-tête;4018;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4018;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4018;
Etablir une correspondance régulière (par courriel, par courrier…);4018;
Organiser des discussions informelles ou des réunions en tête-à-tête;4019;
Organiser des discussions informelles ou des réunions en tête-à-tête;4020;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4020;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4020;
Etablir une correspondance régulière (par courriel, par courrier…);4020;
Organiser des discussions informelles ou des réunions en tête-à-tête;4021;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4021;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4021;
Etablir une correspondance régulière (par courriel, par courrier…);4021;
Organiser des discussions informelles ou des réunions en tête-à-tête;4022;
Etablir une correspondance régulière (par courriel, par courrier…);4022;
Organiser des discussions informelles ou des réunions en tête-à-tête;4023;
Organiser des discussions informelles ou des réunions en tête-à-tête;4024;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4024;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4024;
Etablir une correspondance régulière (par courriel, par courrier…);4024;
Organiser des discussions informelles ou des réunions en tête-à-tête;4025;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4025;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4025;
Etablir une correspondance régulière (par courriel, par courrier…);4025;
Organiser des discussions informelles ou des réunions en tête-à-tête;4026;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4027;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4027;
Etablir une correspondance régulière (par courriel, par courrier…);4027;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4028;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4028;
Etablir une correspondance régulière (par courriel, par courrier…);4028;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4029;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4029;
Etablir une correspondance régulière (par courriel, par courrier…);4029;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4030;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4030;
Etablir une correspondance régulière (par courriel, par courrier…);4030;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4031;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4031;
Etablir une correspondance régulière (par courriel, par courrier…);4031;
Autres : à préciser;4032;Demande d'accompagnement pour les exploitations sortants des ZDS
Etablir une correspondance régulière (par courriel, par courrier…);4032;Demande d'accompagnement pour les exploitations sortants des ZDS
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;4033;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4034;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4034;
Etablir une correspondance régulière (par courriel, par courrier…);4034;
Organiser des discussions informelles ou des réunions en tête-à-tête;4035;
Autres : à préciser;4036;Demande d'expulsion des gens du voyage suite à une installation illicite.
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4037;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4037;
Etablir une correspondance régulière (par courriel, par courrier…);4037;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4038;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4038;
Etablir une correspondance régulière (par courriel, par courrier…);4038;
Organiser des discussions informelles ou des réunions en tête-à-tête;4039;
Autres : à préciser;4040;Manifestation publique à Sillingy
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4041;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4041;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4042;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4042;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4043;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4043;
Autres : à préciser;4044;Participer aux missions ministérielles sur le bien-être animal dans le groupe cirque, participer aux rencontres organisées par Convergence Animaux Politique. 
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4044;Participer aux missions ministérielles sur le bien-être animal dans le groupe cirque, participer aux rencontres organisées par Convergence Animaux Politique. 
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4044;Participer aux missions ministérielles sur le bien-être animal dans le groupe cirque, participer aux rencontres organisées par Convergence Animaux Politique. 
Organiser des débats publics, des marches, des stratégies d'influence sur internet;4044;Participer aux missions ministérielles sur le bien-être animal dans le groupe cirque, participer aux rencontres organisées par Convergence Animaux Politique. 
Envoyer des pétitions, lettres ouvertes, tracts;4044;Participer aux missions ministérielles sur le bien-être animal dans le groupe cirque, participer aux rencontres organisées par Convergence Animaux Politique. 
Etablir une correspondance régulière (par courriel, par courrier…);4044;Participer aux missions ministérielles sur le bien-être animal dans le groupe cirque, participer aux rencontres organisées par Convergence Animaux Politique. 
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4045;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4045;
Envoyer des pétitions, lettres ouvertes, tracts;4045;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4046;
Organiser des discussions informelles ou des réunions en tête-à-tête;4047;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4047;
Etablir une correspondance régulière (par courriel, par courrier…);4047;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4048;
Organiser des discussions informelles ou des réunions en tête-à-tête;4049;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4049;
Organiser des discussions informelles ou des réunions en tête-à-tête;4050;
Etablir une correspondance régulière (par courriel, par courrier…);4050;
Organiser des discussions informelles ou des réunions en tête-à-tête;4051;
Organiser des discussions informelles ou des réunions en tête-à-tête;4052;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4052;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4052;
Etablir une correspondance régulière (par courriel, par courrier…);4052;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4053;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4053;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4054;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4054;
Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;4054;
Organiser des discussions informelles ou des réunions en tête-à-tête;4055;
Organiser des discussions informelles ou des réunions en tête-à-tête;4056;
Organiser des discussions informelles ou des réunions en tête-à-tête;4057;
Organiser des discussions informelles ou des réunions en tête-à-tête;4058;
Organiser des discussions informelles ou des réunions en tête-à-tête;4059;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4059;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4059;
Etablir une correspondance régulière (par courriel, par courrier…);4059;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;4059;
Organiser des discussions informelles ou des réunions en tête-à-tête;4060;Organiser des visites de terrain avec une délégation de députés
Autres : à préciser;4060;Organiser des visites de terrain avec une délégation de députés
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4060;Organiser des visites de terrain avec une délégation de députés
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;4060;Organiser des visites de terrain avec une délégation de députés
Organiser des discussions informelles ou des réunions en tête-à-tête;4061;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4061;
Etablir une correspondance régulière (par courriel, par courrier…);4061;
Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;4061;
Organiser des discussions informelles ou des réunions en tête-à-tête;4062;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4062;
Etablir une correspondance régulière (par courriel, par courrier…);4062;
Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;4062;
Organiser des discussions informelles ou des réunions en tête-à-tête;4063;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4063;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4063;
Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;4063;
Etablir une correspondance régulière (par courriel, par courrier…);4063;
Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;4063;
Organiser des discussions informelles ou des réunions en tête-à-tête;4064;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4064;
Etablir une correspondance régulière (par courriel, par courrier…);4064;
Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;4064;
Organiser des discussions informelles ou des réunions en tête-à-tête;4065;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4065;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4065;
Etablir une correspondance régulière (par courriel, par courrier…);4065;
Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;4065;
Organiser des discussions informelles ou des réunions en tête-à-tête;4066;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4066;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4066;
Etablir une correspondance régulière (par courriel, par courrier…);4066;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;4066;
Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;4066;
Organiser des discussions informelles ou des réunions en tête-à-tête;4067;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4067;
Etablir une correspondance régulière (par courriel, par courrier…);4067;
Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;4067;
Organiser des discussions informelles ou des réunions en tête-à-tête;4068;
Etablir une correspondance régulière (par courriel, par courrier…);4068;
Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;4068;
Organiser des discussions informelles ou des réunions en tête-à-tête;4069;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4069;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4069;
Etablir une correspondance régulière (par courriel, par courrier…);4069;
Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;4069;
Organiser des discussions informelles ou des réunions en tête-à-tête;4070;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4070;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4070;
Etablir une correspondance régulière (par courriel, par courrier…);4070;
Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;4070;
Organiser des discussions informelles ou des réunions en tête-à-tête;4071;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4071;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4071;
Etablir une correspondance régulière (par courriel, par courrier…);4071;
Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;4071;
Organiser des discussions informelles ou des réunions en tête-à-tête;4072;
Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;4072;
Organiser des discussions informelles ou des réunions en tête-à-tête;4073;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4073;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4073;
Etablir une correspondance régulière (par courriel, par courrier…);4073;
Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;4073;
Organiser des discussions informelles ou des réunions en tête-à-tête;4074;
Etablir une correspondance régulière (par courriel, par courrier…);4074;
Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;4074;
Organiser des discussions informelles ou des réunions en tête-à-tête;4075;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4075;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4075;
Etablir une correspondance régulière (par courriel, par courrier…);4075;
Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;4075;
Organiser des discussions informelles ou des réunions en tête-à-tête;4076;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4076;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4076;
Etablir une correspondance régulière (par courriel, par courrier…);4076;
Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;4076;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4077;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4078;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4079;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4080;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4081;
Organiser des discussions informelles ou des réunions en tête-à-tête;4082;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4082;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4083;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4084;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4085;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4086;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4087;
Organiser des discussions informelles ou des réunions en tête-à-tête;4088;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4089;
Organiser des discussions informelles ou des réunions en tête-à-tête;4090;
Organiser des discussions informelles ou des réunions en tête-à-tête;4091;
Organiser des discussions informelles ou des réunions en tête-à-tête;4092;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4092;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;4092;
Organiser des discussions informelles ou des réunions en tête-à-tête;4093;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4093;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4093;
Etablir une correspondance régulière (par courriel, par courrier…);4093;
Organiser des discussions informelles ou des réunions en tête-à-tête;4094;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4094;
Etablir une correspondance régulière (par courriel, par courrier…);4094;
Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;4094;
Organiser des discussions informelles ou des réunions en tête-à-tête;4095;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4095;
Organiser des débats publics, des marches, des stratégies d'influence sur internet;4095;
Etablir une correspondance régulière (par courriel, par courrier…);4095;
Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;4095;
Organiser des discussions informelles ou des réunions en tête-à-tête;4096;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4096;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4096;
Organiser des débats publics, des marches, des stratégies d'influence sur internet;4096;
Etablir une correspondance régulière (par courriel, par courrier…);4096;
Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;4096;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4097;
Etablir une correspondance régulière (par courriel, par courrier…);4097;
Organiser des discussions informelles ou des réunions en tête-à-tête;4098;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4098;
Etablir une correspondance régulière (par courriel, par courrier…);4098;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;4098;
Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;4098;
Organiser des discussions informelles ou des réunions en tête-à-tête;4099;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4099;
Etablir une correspondance régulière (par courriel, par courrier…);4099;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;4099;
Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;4099;
Organiser des discussions informelles ou des réunions en tête-à-tête;4100;
Organiser des discussions informelles ou des réunions en tête-à-tête;4101;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4101;
Etablir une correspondance régulière (par courriel, par courrier…);4101;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;4101;
Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;4101;
Organiser des discussions informelles ou des réunions en tête-à-tête;4102;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4102;
Envoyer des pétitions, lettres ouvertes, tracts;4102;
Organiser des discussions informelles ou des réunions en tête-à-tête;4103;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4103;
Envoyer des pétitions, lettres ouvertes, tracts;4103;
Organiser des discussions informelles ou des réunions en tête-à-tête;4104;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4104;
Envoyer des pétitions, lettres ouvertes, tracts;4104;
Organiser des discussions informelles ou des réunions en tête-à-tête;4105;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4106;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;4106;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4107;
Organiser des discussions informelles ou des réunions en tête-à-tête;4108;
Organiser des discussions informelles ou des réunions en tête-à-tête;4109;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4109;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;4109;
Organiser des discussions informelles ou des réunions en tête-à-tête;4110;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4111;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4112;
Organiser des discussions informelles ou des réunions en tête-à-tête;4113;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4113;
Organiser des discussions informelles ou des réunions en tête-à-tête;4114;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4114;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;4114;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4115;
Organiser des discussions informelles ou des réunions en tête-à-tête;4116;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4116;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4117;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4118;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4119;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4120;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4121;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4122;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4123;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4124;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4125;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4126;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4127;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4128;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4129;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4130;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4131;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4132;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4133;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4134;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4135;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4136;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4137;
Organiser des discussions informelles ou des réunions en tête-à-tête;4138;
Organiser des discussions informelles ou des réunions en tête-à-tête;4139;
Organiser des discussions informelles ou des réunions en tête-à-tête;4140;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4140;
Organiser des discussions informelles ou des réunions en tête-à-tête;4141;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4141;
Etablir une correspondance régulière (par courriel, par courrier…);4141;
Organiser des discussions informelles ou des réunions en tête-à-tête;4142;
Etablir une correspondance régulière (par courriel, par courrier…);4142;
Envoyer des pétitions, lettres ouvertes, tracts;4143;
Organiser des discussions informelles ou des réunions en tête-à-tête;4144;
Etablir une correspondance régulière (par courriel, par courrier…);4144;
Etablir une correspondance régulière (par courriel, par courrier…);4145;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4146;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4146;
Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;4146;
Envoyer des pétitions, lettres ouvertes, tracts;4146;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4147;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4147;
Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;4147;
Envoyer des pétitions, lettres ouvertes, tracts;4147;
Etablir une correspondance régulière (par courriel, par courrier…);4147;
Organiser des discussions informelles ou des réunions en tête-à-tête;4148;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;4148;
