civilite_dirigeant;fonction_dirigeant;nom_dirigeant;prenom_dirigeant;representants_id;nom_prenom_dirigeant
MME;Trésorière;COORNAERT;Christèle;426;COORNAERT Christèle
M;Trésorier adjoint;PUGGIONI;Jean-Marie;426;PUGGIONI Jean-Marie
M;Secrétaire adjoint;REYMOND;Florian;426;REYMOND Florian
M;Secrétaire;GABERT;Alain;426;GABERT Alain
M;Président;VERGIER;Bernard;426;VERGIER Bernard
M;Directeur Général;MARIDET;Michel;426;MARIDET Michel
MME;DIRECTEUR GENERAL;VALACHS;Anne;427;VALACHS Anne
M;PRESIDENT;LACROIX;Guy;427;LACROIX Guy
M;Vice-président;RAGOT;Frédéric;428;RAGOT Frédéric
M;Président;REYNE;Bruno;428;REYNE Bruno
M;Directeur;DELBERT;Gérard;429;DELBERT Gérard
M;Président;CARLIER;Jean-Marie;429;CARLIER Jean-Marie
M;Président du conseil d'administration;LAVAL;Sylvain;430;LAVAL Sylvain
M;Président;PAILLOT;Matthieu-Gwen;431;PAILLOT Matthieu-Gwen
M;Président;LAURANS;René;432;LAURANS René
MME;Directrice;LABAYE;Astrid;432;LABAYE Astrid
M;Président;BOULAT;Olivier;433;BOULAT Olivier
M;Président;DARMAYAN;Philippe;434;DARMAYAN Philippe
M;Directeur général;MOULIN WRIGHT;Vincent;434;MOULIN WRIGHT Vincent
M;Président-Directeur Général;BOMPARD;Alexandre;435;BOMPARD Alexandre
M;Président;BRONCHAIN;Olivier;436;BRONCHAIN Olivier
M;Président du Directoire;CROUZET;Philippe;437;CROUZET Philippe
M;Président;BONIFAY;Jacques;438;BONIFAY Jacques
M;Vice-Président;HACQUART;Arnaud;438;HACQUART Arnaud
M;Délégué Général;KALOGEROPOULOS;Léonidas;438;KALOGEROPOULOS Léonidas
M;Vice-Président;LEMOINE;Bernard;438;LEMOINE Bernard
M;Vice-Président;BONTEMPS;Pierre;438;BONTEMPS Pierre
MME;Présidente;ARRIBAT;Aurélie;439;ARRIBAT Aurélie
M;Secrétaire Général;BEYENE;Fernand;439;BEYENE Fernand
M;PRESIDENT;RIOTTOT;Sébastien;440;RIOTTOT Sébastien
M;Président;POLI;Eric;441;POLI Eric
M;Président;RAMÉ;Frédéric;442;RAMÉ Frédéric
M;Président du Directoire;DALLARD;Thierry;443;DALLARD Thierry
M;Membre du Directoire;BREDILLOT;Frédéric;443;BREDILLOT Frédéric
M;Membre du Directoire;CATHELAIN;Bernard;443;CATHELAIN Bernard
M;Président;DE LA GIRODAY;Nicolas;444;DE LA GIRODAY Nicolas
M;Président;NOEL;Hervé;445;NOEL Hervé
M;PRESIDENT;TIERSEN;Philippe;446;TIERSEN Philippe
MME;Secrétaire Général;BEAUDOUX;Martine;447;BEAUDOUX Martine
M;Président;VIDAL;Serge;447;VIDAL Serge
M;Président;BLANC;Patrice;448;BLANC Patrice
M;Président;BAILET;Jacques;449;BAILET Jacques
M;Président;CHOQUET;Philippe;450;CHOQUET Philippe
M;Président;GUERIN;Jacques;451;GUERIN Jacques
M;PRESIDENT;BARBIER;Luc;452;BARBIER Luc
M;Président;EPAILLY;Christian;453;EPAILLY Christian
M;Président;LERIDON;Matthias;454;LERIDON Matthias
MME;Directrice Associée;MOTTA RIVEY;Aurélie;454;MOTTA RIVEY Aurélie
M;Chief Operating Officer - Directeur Associé;JUBIN;Guillaume;454;JUBIN Guillaume
M;Directeur Associé;REYNE;Clément;454;REYNE Clément
M;Directeur Associé;BOUDOT;Nicolas;454;BOUDOT Nicolas
M;Directeur Associé;LATROBE;Frédéric;454;LATROBE Frédéric
MME;Directice Associée;KLEIN;Marie-Virginie;454;KLEIN Marie-Virginie
M;Directeur Associé;CHAMBENOIS;Bertrand;454;CHAMBENOIS Bertrand
M;Directeur général-Gérant;TRONC;Jean-Noël;455;TRONC Jean-Noël
M;président directeur général;SIDOS;Guy;456;SIDOS Guy
M;Gérant;FENWICK;John Andrew;457;FENWICK John Andrew
M;PRESIDENT DU CA;TEBOUL;Philippe;458;TEBOUL Philippe
MME;Directrice Générale France;DEBON;Marie-Ange;459;DEBON Marie-Ange
M;Directeur Général;CAMUS;Bertrand;459;CAMUS Bertrand
M;Président;DELANNOY;Jean-Michel;460;DELANNOY Jean-Michel
MME;Directeur;DUCOURNEAU;Caroline;460;DUCOURNEAU Caroline
M;Président;MACÉ;Christophe;461;MACÉ Christophe
M;Secrétaire général;HAY;Xavier;461;HAY Xavier
M;Vice-président et Directeur Général Europe;DECOSTRE;Patrick;462;DECOSTRE Patrick
M;Président;DELACHAPELLE;Quentin;463;DELACHAPELLE Quentin
M;Président;DE TINGUY;Christian;464;DE TINGUY Christian
M;Président;AULAGNE;Bernard;465;AULAGNE Bernard
M;Président;THEVELEIN;Baptiste;466;THEVELEIN Baptiste
M;Directeur;MATHIEU;Antoine;466;MATHIEU Antoine
MME;Déléguée Générale;THOURY;Claire;466;THOURY Claire
M;Président;DJIKPA;Antoine;467;DJIKPA Antoine
M;PRESIDENT;BRICOUT;Jean-Yves;468;BRICOUT Jean-Yves
M;vice-président;DAVIN;Benoit;468;DAVIN Benoit
M;vice-président;MEURS;Philippe;468;MEURS Philippe
M;vice-président;BECRET;Hugues;468;BECRET Hugues
M;vice-président;TRICOTEAUX;Regis;468;TRICOTEAUX Regis
MME;secrétaire générale;VASSANT;Charlotte;468;VASSANT Charlotte
M;secrétaire général adjoint;LANGLET;Jean-François;468;LANGLET Jean-François
M;secrétaire général adjoint;LEFEBURE;Bruno;468;LEFEBURE Bruno
M;Vice- Président;VAN HYFTE;Bertrand;468;VAN HYFTE Bertrand
M;Président d'arrondissement;PAPON;Thomas;468;PAPON Thomas
M;Directeur Général;HORNAIN;Jean;469;HORNAIN Jean
M;Président;NOGUIER;Nicolas;470;NOGUIER Nicolas
M;Directeur Général;GAL;Frédéric;470;GAL Frédéric
M;Président de Finexia, elle-même Président d'ATLAND;ROCCHIETTA;Georges;471;ROCCHIETTA Georges
MME;Présidente;BURON;Martine;472;BURON Martine
M;Directeur institutionnel;FAVRE-GILLY;Sylvain;473;FAVRE-GILLY Sylvain
M;PRESIDENT;CIRELLI;Jean-Francois;473;CIRELLI Jean-Francois
M;Vice-président;DENRY;Philippe;474;DENRY Philippe
M;Vice-président;GARNIER;Eric;474;GARNIER Eric
M;Président;BESSET;Philippe;474;BESSET Philippe
M;Gérant non associé;MILLES;Jean Michel;475;MILLES Jean Michel
M;Président;MONCANY DE SAINT AIGNAN;Frédéric;476;MONCANY DE SAINT AIGNAN Frédéric
MME;Présidente Déléguée;MARCOT;Sandrine;477;MARCOT Sandrine
M;Président;CHRISTIAN;Bouldoires;477;CHRISTIAN Bouldoires
M;PRESIDENT;CHAMOUTON;Michel;478;CHAMOUTON Michel
M;SECRETAIRE GENERAL;MUSSOT;Jean Paul;478;MUSSOT Jean Paul
M;Président;MOTTIER;Bernard;479;MOTTIER Bernard
M;Président;BÉDIER;Jérôme;480;BÉDIER Jérôme
M;Directeur Général;MARCELLIER;Marc-Adrien;480;MARCELLIER Marc-Adrien
M;Directeur général;CAZAILLON;Jean-Luc;481;CAZAILLON Jean-Luc
MME;Présidente;RICHARD;Marie;481;RICHARD Marie
M;Président;DUMON;Michel;482;DUMON Michel
M;1er Vice-Président;BELGY;Benoit;482;BELGY Benoit
M;2ème Vice-Président;GOMEZ;Gérard;482;GOMEZ Gérard
M;3ème Vice-Président;OZOUX;Eric;482;OZOUX Eric
M;4ème Vice-Président;DUSSOUL;Jean-Jacques;482;DUSSOUL Jean-Jacques
M;secrétaire général Nouvelle-Aquitaine;BAUDINET;Laurent;482;BAUDINET Laurent
M;Président;ROCCHIETTA;Georges;483;ROCCHIETTA Georges
M;Président;GILLIG;Thomas;484;GILLIG Thomas
M;Président;KOEGLER;Julien;484;KOEGLER Julien
M;Président;FARANDOU;Jean-Pierre;485;FARANDOU Jean-Pierre
M;Président de l'association;MERABET;Philippe;486;MERABET Philippe
M;Secrétaire général;VELUT;Jean-Loup;486;VELUT Jean-Loup
M;Directeur;GEORGET;Nicolas;487;GEORGET Nicolas
M;Président;HANNEBIQUE;Pierre;487;HANNEBIQUE Pierre
M;secrétaire général;LESAFFRE;Karel;487;LESAFFRE Karel
M;Trésorier;MONTIGNY;Stéphane;488;MONTIGNY Stéphane
M;Trésorier adjoint;VALET;Florian;488;VALET Florian
M;Président national;BEAUCAMP;Aurélien;488;BEAUCAMP Aurélien
MME;Vice-présidente;AUMOND;Catherine;488;AUMOND Catherine
M;Secrétaire Général;GALTIÉ;Samuel;488;GALTIÉ Samuel
M;Secrétaire général adjoint;PALLOT;Laurent;488;PALLOT Laurent
M;Directeur Général;DIXNEUF;Marc;488;DIXNEUF Marc
M;Président;ISAAC;Henri;489;ISAAC Henri
M;;ABLIN;Michael;490;ABLIN Michael
M;Président;VILLAND;Marc;491;VILLAND Marc
MME;DELEGUEE GENERALE;MATIGNON;Nathalie;492;MATIGNON Nathalie
M;Délégué Général;PAULISSEN;Nicolas;493;PAULISSEN Nicolas
M;Président;JUIN;Thomas;493;JUIN Thomas
M;Président;CHAMOT;François;494;CHAMOT François
M;Président;ANSPACH;Jean-Louis;495;ANSPACH Jean-Louis
M;Directeur Général;VRHOVEC;David;495;VRHOVEC David
M;Directeur Général - Pharmacien Responsable;JEGOU;Yannick;495;JEGOU Yannick
M;Président;CORET;Christophe;496;CORET Christophe
MME;Vice-Présidente;CARDONA;Sylvie;496;CARDONA Sylvie
M;Président;MENARD;Jean-Yves;497;MENARD Jean-Yves
M;Directeur Général;LENOIR;Bertrand;498;LENOIR Bertrand
M;Président;MASSON;Jean-Philippe;499;MASSON Jean-Philippe
M;Premier Vice-Président;SILBERMAN;Bruno;499;SILBERMAN Bruno
M;Secrétaire général;DELESALLE;Jean-Christophe;499;DELESALLE Jean-Christophe
M;Secrétaire général;LECLERC;Jean-Charles;499;LECLERC Jean-Charles
M;Président;DE MEULDER;Dirk;500;DE MEULDER Dirk
M;Président;MITTERRAND;Gilbert;501;MITTERRAND Gilbert
M;Directeur Général;POILANE;Emmanuel;501;POILANE Emmanuel
M;Président;CLEDEL;Jean-François;502;CLEDEL Jean-François
M;Président;COURBEBAISSE;Pierre;503;COURBEBAISSE Pierre
M;Délégué Général;PONCELET;Olivier;503;PONCELET Olivier
M;Président;GIUILY;Eric;504;GIUILY Eric
MME;Co-Présidente;COUTUREAU;Elisabeth;504;COUTUREAU Elisabeth
M;CEO;COOPER;Mike;505;COOPER Mike
M;Président Exécutif;DEPREY;François;506;DEPREY François
M;Président;BISOTTI;Marc-Angelo;507;BISOTTI Marc-Angelo
M;Directeur général;PETRUCCI;Romuald;507;PETRUCCI Romuald
MME;Présidente;VAYTILINGOM;Eulalie;508;VAYTILINGOM Eulalie
M;DG;MARION;Roland;509;MARION Roland
M;PRESIDENT;COVILLE;Francois;510;COVILLE Francois
M;Président;FAUCON;Patrice;511;FAUCON Patrice
MME;Directrice;TATON;Véronique;511;TATON Véronique
M;Directeur général;PÉTRY;François;512;PÉTRY François
M;Président;LANDRIOT;Jacques;513;LANDRIOT Jacques
M;Président;ROSY;Matthieu;514;ROSY Matthieu
M;président directeur général;LECHANTEUR;Marcel;515;LECHANTEUR Marcel
MME;Président;DELAPLACE LAVOIX;Fabienne;516;DELAPLACE LAVOIX Fabienne
M;Délégué Général;BAILLEUL;Sébastien;517;BAILLEUL Sébastien
M;Vice-Président suppléant;DESSEMON;Franck;518;DESSEMON Franck
M;Vice-Président suppléant;LAMY;Matthieu;518;LAMY Matthieu
MME;Vice-Présidente;CONTY;Brigitte;518;CONTY Brigitte
M;PRESIDENT;ASSELIN;Pascal;518;ASSELIN Pascal
M;Secrétaire Général;TEISSIER;Sylvain;518;TEISSIER Sylvain
M;Vice-Président;ROUSSEAU;Denis;518;ROUSSEAU Denis
M;Vice-Président;MARET;Christophe;518;MARET Christophe
MME;Vice-Présidente;PINTAT;Céline;518;PINTAT Céline
MME;Vice-Présidente suppléante;DUCLOS;Estelle;518;DUCLOS Estelle
M;Trésorier;SIST;David;518;SIST David
M;Président;GALLOIS;Louis;519;GALLOIS Louis
M;Président d'honneur;BRUNEL;Denys;520;BRUNEL Denys
M;Président;CATABELLE;Jean-Marie;520;CATABELLE Jean-Marie
M;Président de l'UMIH 33;TOURNIER;Laurent;521;TOURNIER Laurent
M;Président;ROMITI;Gérard;522;ROMITI Gérard
M;Directeur Général;CARRÉ;Hubert;522;CARRÉ Hubert
M;Associé;BENOIST;Olivier;523;BENOIST Olivier
M;Associé;D'AMÉCOURT;Paul;523;D'AMÉCOURT Paul
M;Dirigeant;CHRETIEN;Anthony;524;CHRETIEN Anthony
M;Délégué Général;BOCQUELET;Hubert;525;BOCQUELET Hubert
M;Président;LE ROY;Arnaud;525;LE ROY Arnaud
M;Secrétaire;PREBIN;François;525;PREBIN François
M;Trésorier;HENNEL;Eric;525;HENNEL Eric
M;Président;DARAK;Shayna;526;DARAK Shayna
M;Secrétaire général;PINEAU;Kévin;526;PINEAU Kévin
M;Président;BRUNET;Hubert;527;BRUNET Hubert
M;Président Directeur Général;ABECASIS;João;528;ABECASIS João
M;Président;GOJ;Philippe;529;GOJ Philippe
M;Président des Jeunes Agriculteurs du Cher;RONDIER;Arnaud;530;RONDIER Arnaud
M;Président Jeunes Agriculteurs Vosges;LAMBERT;Victorien;531;LAMBERT Victorien
M;Président;RANTY;Philippe;532;RANTY Philippe
M;Directeur Général délégué;BORDENAVE;Philippe;533;BORDENAVE Philippe
M;Administrateur, Directeur Général;BONNAFÉ;Jean-Laurent;533;BONNAFÉ Jean-Laurent
M;Président;DELANDE;Jean-Claude;534;DELANDE Jean-Claude
M;Secrétaire général;LE POTIER;Nathan;535;LE POTIER Nathan
MME;Secrétaire générale adjointe;BOUR;Alexia;535;BOUR Alexia
M;Secrétaire national;PENA;Loris;535;PENA Loris
M;Secrétaire national;HEDAR;Nabil;535;HEDAR Nabil
MME;Secrétaire nationale;MAUGARNY;Mathilde;535;MAUGARNY Mathilde
M;Secrétaire national;CAVACAS;Maxim;535;CAVACAS Maxim
MME;Secrétaire nationale;N'GAZI;Lina;535;N'GAZI Lina
M;Secrétaire national;REMANDE;Jean-Marc;535;REMANDE Jean-Marc
MME;Secrétaire nationale;CHERQAOUI;Amal;535;CHERQAOUI Amal
M;Secrétaire général adjoint;DELOHEN;Julien;535;DELOHEN Julien
M;Président;FABRE;Jérôme;536;FABRE Jérôme
MME;Présidente;COLAS;Fabienne;537;COLAS Fabienne
M;PRESIDENT;LACOSTA;Pascal;538;LACOSTA Pascal
M;SECRETAIRE GENERAL;POLGE;Olivier;538;POLGE Olivier
M;Gérant;TRUPIN;Laurent;539;TRUPIN Laurent
M;Secrétaire;CAGET;Alexandre;540;CAGET Alexandre
M;Président;GAIJI;Khaled;541;GAIJI Khaled
M;Délégué Général;BOUIX;Frédéric;542;BOUIX Frédéric
M;Président;GAVAUDAN;Jérôme;543;GAVAUDAN Jérôme
M;Délégué Général;ROUQUE;Alexis;544;ROUQUE Alexis
MME;Présidente;FRANÇOIS-CUXAC;Alexandra;544;FRANÇOIS-CUXAC Alexandra
M;Président;LECOMTE;Trsitan;545;LECOMTE Trsitan
M;Président;LEGENDRE;Jean Philippe;546;LEGENDRE Jean Philippe
MME;Présidente;AIMARD;Ariane;547;AIMARD Ariane
M;Président;HENRY;Paul;548;HENRY Paul
M;Vice-Président;STALTER;Bernard;548;STALTER Bernard
M;Vice-Président;MOUTON;Jean-Louis;548;MOUTON Jean-Louis
M;Vice-Président;ZORGNIOTTI;Joseph;548;ZORGNIOTTI Joseph
M;Vice-Président;NOSAL;Christian;548;NOSAL Christian
MME;Secrétaire Générale;CADET;Christine;548;CADET Christine
M;Président;SABRIÉ;Pascal;549;SABRIÉ Pascal
MME;Présidente;CUENOT-STALDER;Jacqueline;550;CUENOT-STALDER Jacqueline
MME;Direction;SCHWERDORFFER;Anne;550;SCHWERDORFFER Anne
M;Directeur Général;L'ELCHAT;Cédric;551;L'ELCHAT Cédric
MME;;KUNTZ;Florence;552;KUNTZ Florence
M;Président;FERAUD;Guylhem;553;FERAUD Guylhem
M;Président;BUSTAMANTE;Nicolas;554;BUSTAMANTE Nicolas
M;Directeur général;DUSSÉAUX;Antoine;554;DUSSÉAUX Antoine
M;Directeur général adjoint;CHAMPEIMONT;Raphaël;554;CHAMPEIMONT Raphaël
M;Président du Cercle de l'Industrie;VARIN;Philippe;555;VARIN Philippe
M;Délégué général;DANJOU;Jean-Marie;555;DANJOU Jean-Marie
MME;PRESIDENTE;COULOUVRAT;Aline;556;COULOUVRAT Aline
M;DIRECTEUR;MANO;Jean-Luc;556;MANO Jean-Luc
MME;Présidente;FOUGOU;Stéphanie;557;FOUGOU Stéphanie
M;Vice-Président;MOSSÉ;Marc;557;MOSSÉ Marc
MME;Secrétaire Générale;PAULET;Anne Laure;557;PAULET Anne Laure
MME;Responsable de la communication;TSATSANIS;Coralie;557;TSATSANIS Coralie
M;Administrateur d'Honneur;TROCHON;Jean-Yves;557;TROCHON Jean-Yves
MME;General Manager;HOUEL;Maureen;558;HOUEL Maureen
M;PDG;SCHMAUL;Bernd;558;SCHMAUL Bernd
M;PRESIDENT;MOURA NETO;Jose Luiz;559;MOURA NETO Jose Luiz
M;Président;NIBOUREL;Christian;560;NIBOUREL Christian
M;President;HENDLER;Gary;561;HENDLER Gary
MME;Pharmacien Responsable Directeur General;MONTEUX;Agnès;561;MONTEUX Agnès
M;Président Directeur Général;SAADÉ;Rodolphe;562;SAADÉ Rodolphe
MME;Directeur Général Délégué;SAADÉ;Tanya;562;SAADÉ Tanya
M;Directeur Général Délégué;SALEM;Farid;562;SALEM Farid
M;Co-Président;BLANCHARD;Romain;563;BLANCHARD Romain
MME;Co-Présidente;POULET;Camille;563;POULET Camille
M;Directeur Général Délégué;FRANCK;Jérôme;564;FRANCK Jérôme
M;Président et Directeur des Publications;BAZOT;Alain;564;BAZOT Alain
M;Président;DORÉ;Christophe;565;DORÉ Christophe
MME;1ère Vice-présidente;LEMARCHAND;Roseline;565;LEMARCHAND Roseline
M;2ème Vice-président;DESGROUAS;Gabriel;565;DESGROUAS Gabriel
M;3ème Vice-président;FREIRE;Daniel;565;FREIRE Daniel
M;4ème Vice-président;TURPIN;Serge;565;TURPIN Serge
M;Secrétaire général;DUPUIS;Gwénaël;565;DUPUIS Gwénaël
MME;Présidente du Directoire;BATLLE;Laurence;566;BATLLE Laurence
M;Directeur Général Délégué;FONBLANC;Gilles;567;FONBLANC Gilles
M;Président;ROUSSEL;André-Hubert;567;ROUSSEL André-Hubert
M;Directeur Général Délégué;GODART;Pierre;567;GODART Pierre
M;Directeur Général Délégué;PASTOR;Philippe;567;PASTOR Philippe
M;Directeur général;MARILL;Emmanuel;568;MARILL Emmanuel
M;Président du conseil d'administration;DE GARIDEL;Marc;569;DE GARIDEL Marc
M;Directeur General;MEEK;David;569;MEEK David
MME;Presidente;BARREAU;Stephanie;570;BARREAU Stephanie
M;Président;LINDRON;Didier;571;LINDRON Didier
M;Secrétaire Général;PASCAL;Luc;571;PASCAL Luc
M;Président;HUNAULT;Dominique;572;HUNAULT Dominique
M;Directeur;JUERY;Joel;573;JUERY Joel
M;Secrétaire Général;FIALIP;Yannick;573;FIALIP Yannick
M;Président;JOUX;Michel;573;JOUX Michel
M;PDG;LE CAIGNEC;Herve;574;LE CAIGNEC Herve
M;Directeur Général;VANHOVE;Christophe;574;VANHOVE Christophe
M;Président;BANCEL;Jean-Louis;575;BANCEL Jean-Louis
MME;Secrétaire générale;NAETT;Caroline;575;NAETT Caroline
M;Président;GUILLOU;Hervé;576;GUILLOU Hervé
M;Délégué général;LAMBERT;François;576;LAMBERT François
M;Vice-Président;LE PIVAIN;Louis;576;LE PIVAIN Louis
M;Secrétaire général;NIELLY;Bruno;576;NIELLY Bruno
M;Trésorier;GUILLERME;Guénaël;576;GUILLERME Guénaël
M;Président;JUVEN;Philippe;577;JUVEN Philippe
M;Président;TANDE;Charles-René;578;TANDE Charles-René
M;Secrétaire Général;OLIVIER;Grégoire;579;OLIVIER Grégoire
M;Co-président délégué;DURON;Philippe;580;DURON Philippe
M;Co-président;NEGRE;Louis;580;NEGRE Louis
M;Président;LALONDE;Brice;581;LALONDE Brice
M;Secrétaire général;ROGERS-BOUTBIEN;Gilles;581;ROGERS-BOUTBIEN Gilles
M;Conseiller scientifique;HAUET;Jean-Pierre;581;HAUET Jean-Pierre
M;Président d'honneur;BERGOUGNOUX;Jean;581;BERGOUGNOUX Jean
MME;Présidente;HEDON;Claire;582;HEDON Claire
MME;Directrice;MOUHADDAB;Aïcha;583;MOUHADDAB Aïcha
M;Président;BARBUT;Stéphane;584;BARBUT Stéphane
M;PRESIDENT;AGUILERA;Vincent;585;AGUILERA Vincent
M;Président;JOFFRE;André;586;JOFFRE André
M;Président;LACOMBE;Damien;587;LACOMBE Damien
M;Président;DUGAST;Antoine;588;DUGAST Antoine
M;CEO;DUNNE;Dana;589;DUNNE Dana
M;Président;DOTTELONDE;Stéphane;590;DOTTELONDE Stéphane
M;Président;HADIDA;Victor;591;HADIDA Victor
MME;Déléguée Générale;LORIMY;Julie;591;LORIMY Julie
MME;Directrice Générale;THUNE;Florence;592;THUNE Florence
MME;Présidente;BARRE-SINOUSSI;Françoise;592;BARRE-SINOUSSI Françoise
M;DG Délégué;NOBILEAU;Christophe;593;NOBILEAU Christophe
M;Président;LARUE;Fabrice;593;LARUE Fabrice
M;Président d'honneur;KLOSSA;Guillaume;594;KLOSSA Guillaume
M;Trésorier;COSSÉ;Stéphane;594;COSSÉ Stéphane
M;Vice-Président;VILLANI;Cédric;594;VILLANI Cédric
MME;Vice-Présidente;FLEURY;Cynthia;594;FLEURY Cynthia
M;Secrétaire Général;HEULLY;Alexandre;594;HEULLY Alexandre
M;Vice-Président;DENSIS-REMIS;Cédric;594;DENSIS-REMIS Cédric
M;Président de la FIPEC;MENICUCCI;Jacques;595;MENICUCCI Jacques
MME;Déléguée Générale;LAJOUS;Carole;595;LAJOUS Carole
M;Administrateur gérant;SAMBA;Abdoulaye;596;SAMBA Abdoulaye
M;Co-Président;GRAINDORGE;Alexis;597;GRAINDORGE Alexis
M;Président CPME 56;DOZOUL;Claude;598;DOZOUL Claude
M;PDG;FARANDOU;Jean-Pierre;599;FARANDOU Jean-Pierre
M;Président;CORIAT;Martin;600;CORIAT Martin
M;Directeur scientifique;DENIS;Julien;601;DENIS Julien
M;Président;TURCAS;François;602;TURCAS François
M;DIRECTEUR GENERAL (succursale française);POURBAIX;Patrick;603;POURBAIX Patrick
M;Représentant d'intérêts;DUPEYRAT;Pascal;604;DUPEYRAT Pascal
M;PRESIDENT;LE BORGNE;Jean-Charles;605;LE BORGNE Jean-Charles
M;SECRETAIRE GENERAL;CHARLET;Jean-Robert;605;CHARLET Jean-Robert
M;Président;PETIT;Eric;606;PETIT Eric
M;Secrétaire Général;LOCHON;Corentin;607;LOCHON Corentin
M;Vice Président;KUNYSZ;Nicolas;607;KUNYSZ Nicolas
M;Président;APPERT-COLLIN;Timothée;607;APPERT-COLLIN Timothée
M;Président;AMIRAULT;Dominique;608;AMIRAULT Dominique
MME;Déléguée générale;BARTHE;Christine;608;BARTHE Christine
M;Directeur;GOKELAERE;Thierry;609;GOKELAERE Thierry
M;Président;GARNOT;Jean-Philippe;609;GARNOT Jean-Philippe
M;Vice-Président;LEFEBVRE;Jean-Charles;609;LEFEBVRE Jean-Charles
M;Secretaire général;MUGNIER;Olivier;610;MUGNIER Olivier
MME;Présidente;LECONTE;Christine;611;LECONTE Christine
MME;Présidente;MESPOULHES;Valérie;612;MESPOULHES Valérie
MME;Directrice;MASSIERE;Ariane;612;MASSIERE Ariane
M;Président;GRANDJEAN;Alain;613;GRANDJEAN Alain
MME;Directrice Générale;OSTRIA;Cécile;613;OSTRIA Cécile
M;directeur;BLASCO;Jean-Louis;614;BLASCO Jean-Louis
M;Président;BONNET;Emilien;614;BONNET Emilien
M;Président;BARREAU;Antoine;615;BARREAU Antoine
M;Administrateur-général;JACQ;François;616;JACQ François
MME;Administrateur-général adjoint;PIKETTY;Laurence;616;PIKETTY Laurence
M;Président du conseil d'administration;AL-OBAIDLY;Yousef;617;AL-OBAIDLY Yousef
M;PRESIDENT;SEYER;Daniel;618;SEYER Daniel
M;Président;CHAM;Claude;619;CHAM Claude
M;Directeur général;ARONICA;Charles;619;ARONICA Charles
M;Président;GINESTET;Michel;620;GINESTET Michel
MME;Président;COCHAUX;Caroline;621;COCHAUX Caroline
M;PRESIDENT;COHARDY;Emmanuel;622;COHARDY Emmanuel
M;Président du SEPM;AUGE;Alain;623;AUGE Alain
M;Vive-Président du SEPM;CLAVERIE;François;623;CLAVERIE François
MME;Vice-Présidente du SEPM;THOMAS;Caroline;623;THOMAS Caroline
MME;Directrice Générale;LORIMY;Julie;623;LORIMY Julie
MME;VP General Manager;BLACHIER-POISSON;Corinne;624;BLACHIER-POISSON Corinne
M;Président délégué;MARTIN;Patrick;625;MARTIN Patrick
M;Président;ROUX DE BEZIEUX;Geoffroy;625;ROUX DE BEZIEUX Geoffroy
M;Directeur général;GUILBAUD;Michel;625;GUILBAUD Michel
M;Délégué Général;LONGEPIERRE;Christophe;626;LONGEPIERRE Christophe
M;Président;VERZAT;Pierre;626;VERZAT Pierre
M;Président exécutif;ISRAËL;Stéphane;627;ISRAËL Stéphane
M;Co-Gérant;DENWOOD;Peter;628;DENWOOD Peter
M;Co-Gérant;SHAPIRO;Michael;628;SHAPIRO Michael
M;président;ALLIONE;Grégory;629;ALLIONE Grégory
M;Président;GREFFIN;Damien;630;GREFFIN Damien
M;VICE-PRESIDENT;BUET;Sebastien;631;BUET Sebastien
M;PRESIDENT;VAN DEN HEUVEL;Daniel;631;VAN DEN HEUVEL Daniel
M;PRESIDENT;BERTINETTI;Gerard;632;BERTINETTI Gerard
M;President;PERRIN;Nicolas;633;PERRIN Nicolas
M;Secrétaire général de l'Enseignement catholique;DELORME;Philippe;634;DELORME Philippe
MME;Directrice générale adjointe;VASSAUX-D'AZÉMAR;France;635;VASSAUX-D'AZÉMAR France
M;Directeur général;DUPONT;Alexis;635;DUPONT Alexis
M;Président;GAILLARD;Dominique;635;GAILLARD Dominique
M;DIRECTEUR GENERAL;LAHEURTE;Cyrille;636;LAHEURTE Cyrille
M;PRESIDENT;GRELIER;Eric;636;GRELIER Eric
M;Président;ROCHE;Max;637;ROCHE Max
M;Délégué général;BEZANÇON;Xavier;637;BEZANÇON Xavier
M;conseiller juridique;CUCCHIARINI;Christian;637;CUCCHIARINI Christian
MME;DIRECTRICE GENERALE;GILSON;Lina;638;GILSON Lina
M;DIRECTEUR GENERAL ADJOINT;SIMON;Olivier;638;SIMON Olivier
MME;Directrice générale;POINSOT;Valérie;639;POINSOT Valérie
M;Directeur général délégué - Pharmacien Responsable;BAYSSAT;Jean-Christophe;639;BAYSSAT Jean-Christophe
M;PRESIDENT;CHAMOUTON;Michel;640;CHAMOUTON Michel
M;SECRETAIRE GENERAL;MUSSOT;Jean Paul;640;MUSSOT Jean Paul
M;Président;LALANNE;Romain;641;LALANNE Romain
M;Président;VIGROUX;Guilhem;642;VIGROUX Guilhem
M;Président;KULLMANN;Christophe;643;KULLMANN Christophe
M;Délégué général;KELBERG;Dorian;643;KELBERG Dorian
M;PRESIDENT;GIRARD;Olivier;644;GIRARD Olivier
M;Directeur Associé;LAPLANTIF;Éric;645;LAPLANTIF Éric
M;Directeur Général;PETITCOLIN;Philippe;646;PETITCOLIN Philippe
M;PRESIDENT;TRANQUARD;Cedric;647;TRANQUARD Cedric
M;Président du Directoire;ROY DE PUYFONTAINE;Arnaud;648;ROY DE PUYFONTAINE Arnaud
M;Président directeur général;BELLANGER;Pierre;649;BELLANGER Pierre
